X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
47.278,5542.547,47.278,5536.093,47.278,7153.094,47.278,5105.4,47.278,6942.7,47.278,6354.229,47.278,5723.259
48.224,5516.785,48.224,5509.641,48.224,7109.774,48.224,5161.339,48.224,6938.168,48.224,6365.189,48.224,5679.957
49.169,5493.524,49.169,5515.88,49.169,7134.639,49.169,5117.677,49.169,6939.182,49.169,6306.195,49.169,5708.011
50.115,5519.289,50.115,5502.875,50.115,7111.796,50.115,5166.956,50.115,6970.945,50.115,6359.813,50.115,5705.394
51.06,5504.424,51.06,5583.397,51.06,7090.969,51.06,5131.866,51.06,6933.46,51.06,6335.993,51.06,5703.463
52.006,5513.399,52.006,5518.886,52.006,7087.924,52.006,5155.563,52.006,6971.414,52.006,6344.261,52.006,5705.394
52.951,5495.88,52.951,5544.297,52.951,7125.78,52.951,5135.433,52.951,6932.843,52.951,6348.419,52.951,5682.675
53.897,5549.723,53.897,5530.649,53.897,7087.596,53.897,5130.037,53.897,6968.897,53.897,6291.167,53.897,5692.215
54.843,5564.099,54.843,5549.178,54.843,7103.929,54.843,5125.24,54.843,6943.051,54.843,6329.045,54.843,5708.541
55.788,5492.252,55.788,5542.752,55.788,7111.427,55.788,5130.464,55.788,6931.31,55.788,6289.181,55.788,5687.827
56.734,5522.536,56.734,5546.183,56.734,7093.957,56.734,5152.8,56.734,6930.496,56.734,6333.502,56.734,5694.651
57.679,5509.136,57.679,5530.441,57.679,7134.513,57.679,5135.839,57.679,6936.532,57.679,6317.803,57.679,5696.871
58.625,5522.394,58.625,5509.2,58.625,7109.217,58.625,5134.053,58.625,6941.762,58.625,6315.125,58.625,5710.752
59.57,5502.365,59.57,5546.217,59.57,7099.385,59.57,5088.948,59.57,6918.824,59.57,6317.063,59.57,5689.287
60.516,5549.001,60.516,5573.946,60.516,7115.579,60.516,5133.113,60.516,6932.276,60.516,6341.283,60.516,5690.067
61.462,5494.174,61.462,5554.273,61.462,7077.142,61.462,5152.756,61.461,6944.375,61.462,6329.107,61.461,5697.591
62.407,5564.777,62.407,5528.973,62.407,7083.918,62.407,5124.354,62.407,6904.465,62.407,6304.053,62.407,5705.356
63.353,5525.349,63.353,5539.038,63.353,7054.852,63.353,5114.569,63.353,6922.186,63.353,6351.196,63.353,5681.152
64.298,5551.251,64.298,5530.357,64.298,7074.868,64.298,5122.401,64.298,6945.163,64.298,6334.512,64.298,5688.637
65.244,5530.158,65.244,5543.8,65.244,7070.702,65.244,5124.488,65.244,6940.802,65.244,6323.044,65.244,5716.042
66.189,5540.353,66.189,5573.462,66.189,7038.747,66.189,5139.904,66.189,6910.107,66.189,6308.953,66.189,5689.917
67.135,5558.771,67.135,5564.333,67.135,7092.087,67.135,5119.668,67.135,6887.553,67.135,6328.207,67.135,5659.238
68.08,5528.941,68.08,5566.8,68.08,7082.979,68.08,5133.031,68.08,6935.261,68.08,6319.932,68.08,5699.924
69.026,5537.824,69.026,5529.984,69.026,7092.247,69.026,5127.269,69.026,6908.029,69.026,6345.847,69.026,5682.874
