X,Y
0.000,6154.885
1.891,6186.241
3.782,6066.124
5.673,6147.976
7.565,6098.042
9.456,6069.201
11.347,6100.004
13.238,6039.503
15.129,6152.284
17.020,6238.802
18.911,6060.492
20.802,6099.845
22.694,6103.736
24.585,5997.545
26.476,6000.693
28.367,5974.053
30.258,5849.800
32.149,6024.259
34.040,6027.103
35.931,6200.787
37.823,6052.722
39.714,5791.386
41.605,5842.452
43.496,5729.225
45.387,5886.292
47.278,6029.081
49.169,5956.609
51.060,5963.048
52.952,5982.454
54.843,5964.777
56.734,5771.764
58.625,5903.644
60.516,5911.451
62.407,5986.217
64.298,5841.320
66.189,5821.164
68.081,5884.275
69.972,5957.672
71.863,5976.188
73.754,5718.021
75.645,5917.346
77.536,5901.714
79.427,5837.045
81.318,5776.158
83.210,5848.975
85.101,5817.915
86.992,5846.200
88.883,5790.125
90.774,5835.036
92.665,5887.909
94.556,5630.968
96.447,5687.288
98.339,5673.636
100.230,5685.194
102.121,5761.621
104.012,5805.491
105.903,5675.958
107.794,5740.746
109.685,5737.720
111.576,5864.764
113.468,5836.913
115.359,5883.144
117.250,5854.529
119.141,5785.634
121.032,5986.352
122.923,5805.123
124.814,5857.169
126.706,5891.655
128.597,5881.716
130.488,5870.960
132.379,5821.958
134.270,5831.904
136.161,5698.509
138.052,5697.522
139.943,5733.988
141.835,5755.459
143.726,5648.105
145.617,5873.434
147.508,5710.705
149.399,5820.887
151.290,5861.455
153.181,5752.278
155.072,5690.028
156.964,5649.130
158.855,5765.156
160.746,5696.230
162.637,5689.345
164.528,6770.123
166.419,8301.695
168.310,8475.869
170.201,8113.902
172.093,7991.728
173.984,7723.789
175.875,7664.494
177.766,7323.849
179.657,7237.920
181.548,7165.309
183.439,6904.121
185.330,6912.379
187.222,6820.708
189.113,6568.063
191.004,6538.032
192.895,6517.627
194.786,6404.050
196.677,6342.510
198.568,6255.114
200.459,6225.067
202.351,6225.175
204.242,6205.855
206.133,6051.018
208.024,6030.992
209.915,6082.674
211.806,5983.526
213.697,5893.836
215.588,5965.334
217.480,5897.462
219.371,5787.413
221.262,5817.304
223.153,5832.714
