[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean
11.182,12.25287,11.182,7.696429,11.182,5.84375,11.182,6.030551,11.182,11.1995
11.342,12.47414,11.342,7.705357,11.342,5.783854,11.342,6.030551,11.342,11.12374
11.502,12.3908,11.502,7.566072,11.502,5.822917,11.502,6.004471,11.502,10.99747
11.661,12.24425,11.661,7.646429,11.661,5.783854,11.661,6.002235,11.661,11.16919
11.821,12.33046,11.821,7.6625,11.821,5.78125,11.821,6.014903,11.821,11.24242
11.981,12.33046,11.981,7.691072,11.981,5.869792,11.981,5.999255,11.981,11.2601
12.141,12.21264,12.141,7.551786,12.141,5.888021,12.141,6.038748,12.141,11.20455
12.3,12.39368,12.3,7.621428,12.3,5.903646,12.3,6.016394,12.3,11.12121
12.46,12.24425,12.46,7.657143,12.46,5.84375,12.46,6.045455,12.46,10.9798
12.62,12.36782,12.62,7.5625,12.62,5.820312,12.62,6.000745,12.62,11.04798
12.78,12.40805,12.78,7.744643,12.78,5.75,12.78,5.978391,12.78,10.9899
12.939,12.24138,12.939,7.558928,12.939,5.828125,12.939,6.011178,12.939,10.98232
13.099,12.20977,13.099,7.692857,13.099,5.822917,13.099,6.007452,13.099,10.94192
13.259,12.2931,13.259,7.571429,13.259,5.817708,13.259,5.973919,13.259,10.99747
13.418,12.18391,13.418,7.610714,13.418,5.731771,13.418,6.063338,13.419,11.08586
13.578,12.23563,13.578,7.698214,13.578,5.885417,13.578,6.026825,13.578,11.10606
13.738,12.19828,13.738,7.610714,13.738,5.888021,13.738,5.973175,13.738,11.07323
13.898,12.27586,13.898,7.55,13.898,5.755208,13.898,5.968703,13.898,11.1995
14.057,12.4569,14.057,7.583929,14.057,5.742188,14.057,5.939642,14.057,10.98737
14.217,12.23276,14.217,7.666071,14.217,5.942708,14.217,6.073025,14.217,11.06313
14.377,12.26149,14.377,7.578571,14.377,5.773438,14.377,5.966468,14.377,11.26515
14.537,12.17816,14.537,7.548214,14.537,5.830729,14.537,6.004471,14.537,11.18434
14.696,12.30747,14.696,7.471428,14.696,5.794271,14.696,5.950075,14.696,11.31566
14.856,12.41954,14.856,7.701786,14.856,5.747396,14.856,5.951565,14.856,10.9899
15.016,12.17529,15.016,7.6,15.016,5.752604,15.016,6.011178,15.016,11.07828
15.176,12.31322,15.176,7.696429,15.176,5.679688,15.176,5.951565,15.176,11.06818
15.335,12.41379,15.335,7.757143,15.335,5.794271,15.335,6.005216,15.335,11.06313
15.495,12.29023,15.495,7.625,15.495,5.872396,15.495,6.004471,15.495,11.12374
15.655,12.41379,15.655,7.605357,15.655,5.760417,15.655,5.908346,15.655,11.0505
15.815,12.27299,15.815,7.469643,15.815,5.854167,15.815,6.014903,15.815,10.98232
15.974,12.37069,15.974,7.625,15.974,5.645833,15.974,5.9538,15.974,11.07323
16.134,12.33333,16.134,7.553571,16.134,5.854167,16.134,6.003726,16.134,11.01263
16.294,12.25287,16.294,7.676786,16.294,5.674479,16.294,5.950075,16.294,11.15152
16.454,12.2069,16.454,7.641071,16.454,5.820312,16.454,6.055141,16.454,11.2601
16.613,12.3592,16.613,7.576786,16.613,5.776042,16.613,5.99851,16.613,11.07323
16.773,12.22701,16.773,7.685714,16.773,5.799479,16.773,6.061848,16.773,11.15909
16.933,12.24425,16.933,7.667857,16.933,5.747396,16.933,5.980626,16.933,11.12374
17.093,12.29023,17.093,7.598214,17.093,5.721354,17.093,5.938897,17.093,11.15404
17.252,12.37356,17.252,7.541071,17.252,5.830729,17.252,6.003726,17.252,11.10606
17.412,12.32184,17.412,7.526786,17.412,5.799479,17.412,5.977645,17.412,11
17.572,12.21839,17.572,7.605357,17.572,5.763021,17.572,5.97541,17.572,11.10101
17.732,12.36207,17.732,7.594643,17.732,5.65625,17.732,5.941878,17.732,11.2601
17.891,12.15805,17.891,7.480357,17.891,5.710938,17.891,5.938152,17.891,11
18.051,12.24713,18.051,7.5625,18.051,5.804688,18.051,5.953055,18.051,11.2197
18.211,12.19828,18.211,7.526786,18.211,5.791667,18.211,6.030551,18.211,11.23737
18.371,12.1523,18.371,7.683928,18.371,5.914062,18.371,6.046945,18.371,11.20202
18.53,12.26437,18.53,7.630357,18.53,5.776042,18.53,5.948584,18.53,11.24495
18.69,12.05747,18.69,7.639286,18.69,5.822917,18.69,5.986587,18.69,11.08586
18.85,12.27586,18.85,7.567857,18.85,5.830729,18.85,5.974665,18.85,10.99495
19.01,12.13506,19.01,7.632143,19.01,5.783854,19.01,5.981371,19.01,11.13889
19.169,12.20115,19.169,7.607143,19.169,5.661458,19.169,5.968703,19.169,11.22727
19.329,12.27874,19.329,7.691072,19.329,5.760417,19.329,5.962742,19.329,11.12374
19.489,12.41667,19.489,7.655357,19.489,5.877604,19.489,5.971684,19.489,11.13384
19.649,12.22414,19.649,7.642857,19.649,5.783854,19.649,5.95231,19.649,11.10859
19.808,12.45402,19.808,7.458929,19.808,5.835938,19.808,5.995529,19.808,11.17929
19.968,12.2069,19.968,7.785714,19.968,5.885417,19.968,6.07079,19.968,11.21212
20.128,12.07471,20.128,7.541071,20.128,5.778646,20.128,6.006706,20.128,11.19192
20.287,12.07471,20.287,7.642857,20.287,5.729167,20.287,5.917288,20.288,11.16919
20.447,12.13218,20.447,7.489286,20.447,5.877604,20.447,6.042474,20.447,11.11364
20.607,12.19253,20.607,7.6,20.607,5.726562,20.607,5.989568,20.607,11.18434
20.767,12.39368,20.767,7.576786,20.767,5.838542,20.767,5.985842,20.767,11.11616
20.926,12.30172,20.926,7.571429,20.926,5.755208,20.926,5.918033,20.926,11.16919
21.086,12.26437,21.086,7.535714,21.086,5.854167,21.086,6.012668,21.086,11.13131
21.246,12.33621,21.246,7.5,21.246,5.721354,21.246,5.965723,21.246,11.36364
21.406,12.17816,21.406,7.605357,21.406,5.744792,21.406,5.997765,21.406,11.01768
21.565,12.37931,21.565,7.666071,21.565,5.783854,21.565,5.951565,21.565,11.20707
21.725,12.1092,21.725,7.669643,21.725,5.6875,21.725,5.932936,21.725,11.04293
21.885,12.26437,21.885,7.623214,21.885,5.786458,21.885,5.9769,21.885,11.02273
22.045,12.31609,22.045,7.539286,22.045,5.825521,22.045,5.976155,22.045,11.16162
22.204,12.02299,22.204,7.619643,22.204,5.794271,22.204,6.011178,22.204,10.98485
22.364,12.19828,22.364,7.542857,22.364,5.710938,22.364,5.963487,22.364,11.01263
22.524,12.13218,22.524,7.533928,22.524,5.807292,22.524,5.933681,22.524,11.17929
22.684,12.34195,22.684,7.573214,22.684,5.726562,22.684,5.932936,22.684,11.13384
22.843,12.08621,22.843,7.571429,22.843,5.734375,22.843,5.938897,22.843,11.24495
23.003,12.17241,23.003,7.603571,23.003,5.914062,23.003,6.081222,23.003,10.99495
23.163,12.28448,23.163,7.610714,23.163,5.674479,23.163,5.950819,23.163,11.24747
23.323,12.2069,23.323,7.585714,23.323,5.807292,23.323,5.973919,23.323,11.18434
23.482,12.27011,23.482,7.548214,23.482,5.833333,23.482,5.944859,23.482,10.97475
23.642,12.25,23.642,7.478571,23.642,5.8125,23.642,5.961252,23.642,11.12879
23.802,12.30747,23.802,7.471428,23.802,5.752604,23.802,5.926975,23.802,10.87879
23.962,12.21264,23.962,7.596428,23.962,5.804688,23.962,5.992548,23.962,10.97727
24.121,12.47126,24.121,7.544643,24.121,5.950521,24.121,6.014903,24.121,10.97475
24.281,12.20115,24.281,7.525,24.281,5.778646,24.281,5.996274,24.281,11.0303
24.441,12.21264,24.441,7.516071,24.441,5.682292,24.441,5.954545,24.441,11.14394
24.601,12.25862,24.601,7.533928,24.601,5.643229,24.601,5.912817,24.601,11.07323
24.76,12.33908,24.76,7.517857,24.76,5.765625,24.76,5.985842,24.76,11.07576
24.92,12.35057,24.92,7.5875,24.92,5.739583,24.92,5.947094,24.92,11.08081
25.08,12.23276,25.08,7.567857,25.08,5.747396,25.08,5.970939,25.08,11.03535
25.24,12.20402,25.24,7.483929,25.24,5.976562,25.24,6.012668,25.24,10.99242
25.399,12.05172,25.399,7.639286,25.399,5.755208,25.399,5.953055,25.399,10.96465
25.559,12.25287,25.559,7.553571,25.559,5.671875,25.559,5.912817,25.559,11.0303
25.719,12.1954,25.719,7.667857,25.719,5.84375,25.719,5.9769,25.719,11.07071
25.879,12.27299,25.879,7.496428,25.879,5.716146,25.879,5.959016,25.879,10.9596
26.038,12.22701,26.038,7.508929,26.038,5.723958,26.038,5.935916,26.038,10.94444
26.198,12.25862,26.198,7.530357,26.198,5.731771,26.198,5.957526,26.198,11.07828
26.358,12.33908,26.358,7.678571,26.358,5.895833,26.358,5.972429,26.358,11.09848
26.517,12.22989,26.517,7.544643,26.517,5.841146,26.517,6.043219,26.518,11.07576
26.677,12.22414,26.677,7.525,26.677,5.6875,26.677,5.891207,26.677,10.91414
26.837,12.22989,26.837,7.671429,26.837,5.752604,26.837,5.917288,26.837,10.9596
26.997,12.25,26.997,7.553571,26.997,5.729167,26.997,5.941133,26.997,10.83586
27.156,12.16092,27.156,7.535714,27.156,5.841146,27.156,6.000745,27.157,11.04798
27.316,12.32759,27.316,7.471428,27.316,5.796875,27.316,5.953055,27.316,11.05808
27.476,12.35345,27.476,7.557143,27.476,5.825521,27.476,6.000745,27.476,10.91414
27.636,12.2069,27.636,7.498214,27.636,5.729167,27.636,5.923994,27.636,10.89899
27.795,12.04885,27.795,7.5625,27.795,5.822917,27.795,6.026081,27.795,10.93939
27.955,12.35345,27.955,7.567857,27.955,5.78125,27.955,6.00149,27.955,11.00505
28.115,12.13506,28.115,7.353571,28.115,5.778646,28.115,5.944859,28.115,11.0404
28.275,12.26149,28.275,7.575,28.275,5.731771,28.275,5.979881,28.275,10.93434
28.434,12.24138,28.434,7.457143,28.434,5.630208,28.434,5.944113,28.434,10.95202
28.594,12.1954,28.594,7.4125,28.594,5.708333,28.594,5.947839,28.594,11.12879
28.754,12.33621,28.754,7.541071,28.754,5.643229,28.754,5.973919,28.754,11.09343
28.914,12.0431,28.914,7.6125,28.914,5.770833,28.914,5.994039,28.914,11.10606
29.073,12.26149,29.073,7.541071,29.073,5.559896,29.073,5.895678,29.073,10.94444
29.233,12.20402,29.233,7.514286,29.233,5.75,29.233,5.945603,29.233,11.16162
29.393,12.25287,29.393,7.557143,29.393,5.830729,29.393,6.027571,29.393,11.19444
29.553,12.40517,29.553,7.607143,29.553,5.773438,29.553,5.964232,29.553,11.15404
29.712,12.27874,29.712,7.635714,29.712,5.705729,29.712,5.943368,29.712,11.03535
29.872,12.3477,29.872,7.544643,29.872,5.747396,29.872,5.886736,29.872,11.03535
30.032,12.44828,30.032,7.530357,30.032,5.6875,30.032,5.886736,30.032,10.82071
30.192,12.19828,30.192,7.5,30.192,5.846354,30.192,5.957526,30.192,11.0303
30.351,12.27011,30.351,7.517857,30.351,5.729167,30.351,5.948584,30.351,11.06566
30.511,12.52586,30.511,7.521429,30.511,5.807292,30.511,5.941878,30.511,11.00758
30.671,11.89368,30.671,7.564286,30.671,5.734375,30.671,5.929955,30.671,10.9596
30.831,12.29023,30.831,7.444643,30.831,5.856771,30.831,6.033532,30.831,11.09596
30.99,12.23851,30.99,7.508929,30.99,5.645833,30.99,5.946349,30.99,11.13384
31.15,12.36494,31.15,7.580357,31.15,5.661458,31.15,5.923994,31.15,10.9596
31.31,12.31034,31.31,7.608929,31.31,5.703125,31.31,5.931446,31.31,11.04293
31.47,12.20115,31.47,7.469643,31.47,5.757812,31.47,5.935172,31.47,10.96717
31.629,12.17241,31.629,7.471428,31.629,5.729167,31.629,5.963487,31.629,11.00758
31.789,12.33621,31.789,7.623214,31.789,5.838542,31.789,5.970939,31.789,10.94192
31.949,12.06034,31.949,7.391071,31.949,5.713542,31.949,5.935172,31.949,11.10606
32.109,12.11207,32.109,7.598214,32.109,5.716146,32.109,5.933681,32.109,11.18687
32.268,12.25,32.268,7.575,32.268,5.744792,32.268,5.980626,32.268,11.13636
32.428,12.26149,32.428,7.625,32.428,5.773438,32.428,5.926229,32.428,10.95202
32.588,12.08621,32.588,7.660714,32.588,5.786458,32.588,5.903875,32.588,11.14394
32.748,11.99713,32.748,7.541071,32.748,5.677083,32.748,5.951565,32.748,11.08333
32.907,12.11207,32.907,7.433928,32.907,5.635417,32.907,5.902384,32.907,11.11364
33.067,12.28448,33.067,7.471428,33.067,5.778646,33.067,5.942623,33.067,10.9495
33.227,12.23851,33.227,7.525,33.227,5.833333,33.227,6.011922,33.227,11.06818
33.386,12.31034,33.386,7.45,33.386,5.765625,33.386,5.90313,33.387,10.9798
33.546,12.06609,33.546,7.473214,33.546,5.721354,33.546,5.931446,33.546,11.03788
33.706,12.29023,33.706,7.639286,33.706,5.817708,33.706,5.997019,33.706,11.08081
33.866,12.05172,33.866,7.630357,33.866,5.695312,33.866,5.819672,33.866,10.97727
34.025,12.13793,34.025,7.614286,34.025,5.658854,34.025,5.918033,34.026,11.0101
34.185,11.98851,34.185,7.480357,34.185,5.731771,34.185,5.937407,34.185,10.99242
34.345,12.36782,34.345,7.535714,34.345,5.661458,34.345,5.922504,34.345,11.10859
34.505,12.21264,34.505,7.446429,34.505,5.713542,34.505,5.891207,34.505,11.05556
34.664,12.3046,34.664,7.628572,34.664,5.84375,34.664,6.003726,34.664,11.0202
34.824,12.16379,34.824,7.432143,34.824,5.776042,34.824,5.891953,34.824,10.85354
34.984,12.04598,34.984,7.533928,34.984,5.692708,34.984,5.961252,34.984,10.94192
35.144,12.02586,35.144,7.455357,35.144,5.666667,35.144,5.901639,35.144,10.94697
35.303,12.19828,35.303,7.508929,35.303,5.65625,35.303,5.959762,35.303,10.9798
35.463,12.18103,35.463,7.607143,35.463,5.763021,35.463,5.9076,35.463,10.99747
35.623,12.31322,35.623,7.532143,35.623,5.708333,35.623,5.909836,35.623,10.84848
35.783,12.19253,35.783,7.671429,35.783,5.695312,35.783,5.872578,35.783,11.0101
35.942,12.20402,35.942,7.548214,35.942,5.773438,35.942,5.921013,35.942,11.04293
36.102,12.27299,36.102,7.5375,36.102,5.677083,36.102,5.854694,36.102,10.9495
36.262,12.20115,36.262,7.480357,36.262,5.778646,36.262,5.922504,36.262,11.02525
36.422,12.39368,36.422,7.516071,36.422,5.763021,36.422,5.935916,36.422,10.88131
36.581,12.25287,36.581,7.542857,36.581,5.757812,36.581,5.934426,36.581,11.02778
36.741,12.15805,36.741,7.551786,36.741,5.802083,36.741,5.926229,36.741,11.0404
36.901,12.17816,36.901,7.519643,36.901,5.755208,36.901,5.921013,36.901,11.04545
37.061,12.29885,37.061,7.616071,37.061,5.726562,37.061,5.928465,37.061,11.11111
37.22,12.30172,37.22,7.492857,37.22,5.700521,37.22,5.935916,37.22,11.0505
37.38,12.28448,37.38,7.614286,37.38,5.708333,37.38,5.905365,37.38,10.98485
37.54,12.33908,37.54,7.555357,37.54,5.757812,37.54,5.935172,37.54,10.9899
37.7,12.27874,37.7,7.635714,37.7,5.742188,37.7,5.921013,37.7,11.03283
37.859,12.24713,37.859,7.451786,37.859,5.760417,37.859,5.972429,37.859,11.10101
38.019,12.30747,38.019,7.439286,38.019,5.635417,38.019,5.900149,38.019,10.94192
38.179,12.31609,38.179,7.628572,38.179,5.674479,38.179,5.853204,38.179,10.9697
38.339,12.2931,38.339,7.4875,38.339,5.713542,38.339,5.926975,38.339,10.94192
38.498,12.26437,38.498,7.648214,38.498,5.666667,38.498,5.906856,38.498,10.7803
38.658,12.12931,38.658,7.457143,38.658,5.744792,38.658,5.908346,38.658,10.7702
38.818,12.1408,38.818,7.603571,38.818,5.585938,38.818,5.854694,38.818,11.14394
38.978,12.08333,38.978,7.5625,38.978,5.734375,38.978,5.880775,38.978,11.03535
39.137,12.18103,39.137,7.460714,39.137,5.692708,39.137,5.886736,39.137,10.9899
39.297,12.22414,39.297,7.475,39.297,5.726562,39.297,5.880775,39.297,10.91919
39.457,12.21839,39.457,7.489286,39.457,5.742188,39.457,5.932191,39.457,11.07323
39.616,12.35632,39.616,7.626786,39.616,5.708333,39.616,5.956036,39.617,10.97475
39.776,12.23276,39.776,7.514286,39.776,5.770833,39.776,5.920268,39.776,11.07323
39.936,12.16379,39.936,7.530357,39.936,5.786458,39.936,5.913562,39.936,10.96212
40.096,12.1954,40.096,7.476786,40.096,5.653646,40.096,5.903875,40.096,10.7702
40.255,12.23276,40.255,7.530357,40.255,5.632812,40.255,5.888972,40.256,11.02778
40.415,12.32759,40.415,7.496428,40.415,5.796875,40.415,5.932191,40.415,10.99242
40.575,12.3046,40.575,7.426786,40.575,5.606771,40.575,5.863636,40.575,11.0202
