[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean
129.233,26.3966,129.233,34.28393,129.233,27.20045,129.233,12.94192
129.393,26.3017,129.393,34.25536,129.393,27.27347,129.393,12.76263
129.552,26.1782,129.552,33.86071,129.552,27.462,129.553,12.78535
129.712,26.431,129.712,34.1125,129.712,27.33607,129.712,12.73485
129.872,26.0977,129.872,33.94107,129.872,27.36513,129.872,12.66667
130.032,25.9856,130.032,33.79821,130.032,27.3152,130.032,12.72475
130.191,26.4109,130.191,33.92678,130.191,27.19374,130.192,12.61111
130.351,26.3075,130.351,34.275,130.351,27.32638,130.351,12.72222
130.511,26.5287,130.511,33.91429,130.511,27.24441,130.511,12.72222
130.671,26.3161,130.671,33.65179,130.671,27.35991,130.671,12.84848
130.83,26.4052,130.83,33.83571,130.83,27.23994,130.83,12.96717
130.99,26.2443,130.99,33.95179,130.99,27.27049,130.99,12.67929
131.15,25.9655,131.15,34.06607,131.15,27.47765,131.15,12.74747
131.31,26.6264,131.31,33.70536,131.31,27.4076,131.31,12.85859
131.469,26.3477,131.469,33.78393,131.469,27.23696,131.469,12.71465
131.629,26.3534,131.629,34.09643,131.629,27.28763,131.629,12.66162
131.789,26.3046,131.789,33.81786,131.789,27.22429,131.789,12.8005
131.948,26.3305,131.948,33.83214,131.948,27.4076,131.949,12.78283
132.108,26.0402,132.108,33.85893,132.108,27.29434,132.108,12.65404
132.268,26.2759,132.268,33.73393,132.268,27.19225,132.268,12.64141
132.428,26.4167,132.428,33.54107,132.428,27.24441,132.428,12.66919
132.587,26.3276,132.587,33.51072,132.587,27.18927,132.588,12.81566
132.747,26.1092,132.747,33.73571,132.747,27.28912,132.747,12.80303
132.907,26.3621,132.907,33.55714,132.907,27.21833,132.907,12.63384
133.067,26.431,133.067,33.61428,133.067,27.22802,133.067,12.82576
133.226,26.2902,133.226,33.73036,133.226,27.23919,133.227,12.83081
133.386,26.1207,133.386,33.81607,133.386,27.18405,133.386,12.95202
133.546,26.3822,133.546,33.79643,133.546,27.15648,133.546,12.90404
133.706,26.3592,133.706,33.44107,133.706,27.28912,133.706,12.7702
133.865,26.431,133.865,33.68036,133.865,27.34203,133.866,12.7096
134.025,25.9368,134.025,33.92857,134.025,27.23025,134.025,12.74747
134.185,26.181,134.185,33.68214,134.185,27.04769,134.185,12.69697
134.345,26.1638,134.345,33.56071,134.345,27.30775,134.345,12.66667
134.504,26.1351,134.504,33.5,134.504,27.12668,134.505,12.83081
134.664,25.9713,134.664,33.82679,134.664,27.27794,134.664,12.74747
134.824,26.1006,134.824,34.34464,134.824,27.33681,134.824,12.76768
134.984,26.4109,134.984,34.6625,134.984,27.32861,134.984,12.78788
135.143,26.204,135.143,34.80357,135.143,27.18107,135.144,12.82576
135.303,26.3563,135.303,34.79286,135.303,27.30402,135.303,12.79293
135.463,26.181,135.463,34.60179,135.463,27.47466,135.463,12.80556
135.623,26.3994,135.623,34.63572,135.623,27.43592,135.623,12.64394
135.782,26.5287,135.782,34.59107,135.782,27.35395,135.783,12.90909
135.942,26.6695,135.942,34.48214,135.942,27.51043,135.942,12.56818
136.102,26.2989,136.102,34.09643,136.102,27.35768,136.102,12.84596
136.262,26.3563,136.262,34.36786,136.262,27.32414,136.262,12.79545
136.421,26.2155,136.421,34.3125,136.421,27.37258,136.422,12.87121
136.581,26.1609,136.581,34.40536,136.581,27.24069,136.581,12.5404
136.741,26.3822,136.741,34.20357,136.741,27.47318,136.741,12.64646
136.901,26.0575,136.901,34.29464,136.901,27.31595,136.901,12.67172
137.06,26.2759,137.06,34.2375,137.06,27.31818,137.061,12.80808
137.22,26.3534,137.22,34.325,137.22,27.34352,137.22,12.86616
137.38,26.3247,137.38,34.37143,137.38,27.22578,137.38,12.6995
137.54,26.5,137.54,34.25,137.54,27.42698,137.54,12.78788
137.699,26.1322,137.699,34.375,137.699,27.29732,137.699,12.81061
137.859,26.0345,137.859,34.45536,137.859,27.29359,137.859,12.63131
138.019,26.3391,138.019,34.08393,138.019,27.4158,138.019,12.84343
138.178,26.4397,138.178,34.32857,138.178,27.24814,138.179,12.82323
138.338,26.227,138.338,34.12321,138.338,27.36662,138.338,13.00758
138.498,26.3506,138.498,34.3375,138.498,27.23919,138.498,12.65909
138.658,26.0632,138.658,34.3125,138.658,27.29359,138.658,12.77273
138.817,26.069,138.817,34.33036,138.817,27.30849,138.818,12.79798
138.977,26.3506,138.977,34.15536,138.977,27.20939,138.977,12.73485
139.137,26.4914,139.137,33.91071,139.137,27.39121,139.137,12.56818
139.297,26.1178,139.297,34.59107,139.297,27.24367,139.297,12.85354
139.456,26.2471,139.456,34.36964,139.456,27.40164,139.457,12.8005
139.616,26.4914,139.616,34.6,139.616,27.32191,139.616,12.77778
139.776,26.3764,139.776,34.5125,139.776,27.24963,139.776,12.51515
139.936,26.3994,139.936,34.44107,139.936,27.24367,139.936,12.63889
140.095,26.4828,140.095,34.47143,140.095,27.25112,140.096,12.52273
140.255,26.3621,140.255,34.50357,140.255,27.39046,140.255,12.70707
140.415,26.2241,140.415,34.01607,140.415,27.09315,140.415,12.62121
140.575,26.2787,140.575,34.71786,140.575,27.26751,140.575,12.74747
140.734,26.2644,140.734,34.73928,140.734,27.38301,140.735,12.75505
140.894,26.3592,140.894,35.36071,140.894,27.25633,140.894,12.59091
141.054,26.1092,141.054,35.23214,141.054,27.33607,141.054,12.7096
141.214,26.431,141.214,35.13572,141.214,27.23919,141.214,12.75253
141.373,26.3563,141.373,35.15357,141.373,27.03726,141.374,12.69444
141.533,26.3592,141.533,35.11964,141.533,27.28018,141.533,12.75253
141.693,26.342,141.693,34.99286,141.693,27.19002,141.693,12.65152
141.853,26.1638,141.853,34.93214,141.853,27.32414,141.853,12.67929
142.012,25.977,142.012,34.70536,142.012,27.41431,142.013,12.58838
142.172,26.1667,142.172,34.75893,142.172,27.3383,142.172,12.85859
142.332,26.4224,142.332,34.78214,142.332,27.34948,142.332,12.81818
142.492,26.4138,142.492,34.82679,142.492,27.30402,142.492,12.82576
142.651,26.4253,142.651,34.76964,142.651,27.17884,142.652,12.65657
142.811,26.2155,142.811,34.56786,142.811,27.21088,142.811,12.57828
142.971,26.2644,142.971,34.93036,142.971,27.20343,142.971,12.75253
143.131,26.1092,143.131,34.72321,143.131,27.20641,143.131,12.7197
143.29,26.5,143.29,34.74643,143.29,27.22429,143.291,12.88636
143.45,26.2816,143.45,34.41607,143.45,27.28614,143.45,12.81818
143.61,26.2471,143.61,34.3375,143.61,27.43666,143.61,12.67424
143.77,26,143.77,34.33393,143.77,27.20194,143.77,12.45707
143.929,26.023,143.929,34.45357,143.929,27.20566,143.93,12.76515
144.089,25.9655,144.089,34.46964,144.089,27.31073,144.089,12.67172
144.249,26.3649,144.249,34.73571,144.249,27.30626,144.249,12.8005
144.409,26.4138,144.409,34.78214,144.409,27.07973,144.409,12.69192
144.568,26.1954,144.568,35.21429,144.568,27.19449,144.568,12.56566
144.728,26.3161,144.728,35.23928,144.728,27.28838,144.728,12.72475
144.888,25.842,144.888,35.43393,144.888,27.25931,144.888,12.7702
145.047,26.1121,145.047,35.29464,145.047,27.32936,145.048,12.7096
145.207,26.4167,145.207,35.51607,145.207,27.29732,145.207,12.71212
145.367,26.204,145.367,35.38572,145.367,27.18778,145.367,12.62879
145.527,26.4138,145.527,35.23571,145.527,27.21684,145.527,12.7399
145.686,25.8851,145.686,35.29464,145.686,27.24888,145.687,12.69444
145.846,26.3161,145.846,35.14464,145.846,27.08048,145.846,12.75505
146.006,26.1379,146.006,34.9625,146.006,27.31669,146.006,12.7298
146.166,26.0891,146.166,35.04643,146.166,27.29583,146.166,12.42424
146.325,26.1034,146.325,34.85,146.325,27.29359,146.326,12.5404
146.485,26.2011,146.485,34.95536,146.485,27.13338,146.485,12.56818
146.645,26.4511,146.645,34.68393,146.645,27.24069,146.645,12.58586
146.805,26.2874,146.805,34.65893,146.805,27.29806,146.805,12.66667
146.964,26.1092,146.964,34.58929,146.964,27.17511,146.965,12.60859
147.124,26.1523,147.124,34.70179,147.124,27.18629,147.124,12.81061
147.284,26.2672,147.284,34.70536,147.284,27.22727,147.284,12.55808
147.444,26.3305,147.444,34.49464,147.444,27.21237,147.444,12.52525
147.603,26.319,147.603,34.22857,147.603,27.04992,147.604,12.80808
147.763,26.2011,147.763,34.22857,147.763,27.18033,147.763,12.72475
147.923,26.2874,147.923,34.42321,147.923,27.14158,147.923,12.7399
148.083,26.1178,148.083,34.40893,148.083,27.19449,148.083,12.81061
148.242,26.3305,148.242,34.81429,148.242,27.27049,148.243,12.72727
148.402,26.1638,148.402,34.66964,148.402,27.18033,148.402,12.67677
148.562,26.1753,148.562,34.51607,148.562,27.13562,148.562,12.66414
148.722,26.1121,148.722,34.24643,148.722,27.11028,148.722,12.7702
148.881,26.5,148.881,34.56786,148.881,27.12444,148.882,12.66414
149.041,26.069,149.041,34.2875,149.041,27.19523,149.041,12.61616
149.201,25.9052,149.201,34.225,149.201,27.22876,149.201,12.84596
149.361,26.2011,149.361,34.18214,149.361,27.25261,149.361,12.61869
149.52,26.2557,149.52,34.04286,149.52,27.16393,149.521,12.6995
149.68,26.2471,149.68,34.1875,149.68,27.10209,149.68,12.61111
149.84,26.3218,149.84,34.22321,149.84,27.20268,149.84,12.68939
150,26.204,150,34.07143,150,27.08942,150,12.81818
150.159,25.8563,150.159,33.98214,150.159,27.15723,150.16,12.75758
150.319,26.3822,150.319,34.325,150.319,27.0775,150.319,12.60101
150.479,26.2529,150.479,34.23214,150.479,27.26826,150.479,12.72727
150.639,26.3448,150.639,34.1375,150.639,27.38152,150.639,12.7601
150.798,26.0402,150.798,33.95536,150.798,27.21088,150.799,12.70707
150.958,26.3477,150.958,34.04107,150.958,27.04695,150.958,12.68687
151.118,26.3448,151.118,34.01607,151.118,27.06483,151.118,12.84091
151.278,26.3046,151.278,33.94822,151.278,27.06036,151.278,12.73737
151.437,26.408,151.437,34.09643,151.437,27.08793,151.437,12.60859
151.597,26.1925,151.597,33.81071,151.597,27.26006,151.597,12.73232
151.757,26.3793,151.757,33.99464,151.757,27.01788,151.757,12.71212
151.916,26.431,151.916,34.1875,151.916,27.05365,151.917,12.63636
152.076,26.3305,152.076,34.35714,152.076,27.23025,152.076,12.82828
152.236,26.4971,152.236,34.55178,152.236,27.22206,152.236,12.7702
152.396,26.5172,152.396,34.64107,152.396,27.08942,152.396,12.66162
152.555,26.2557,152.555,34.50536,152.555,27.15499,152.556,12.62626
152.715,26.2586,152.715,34.74107,152.715,27.23771,152.715,12.52273
152.875,26.2356,152.875,34.5375,152.875,27.11625,152.875,12.80303
153.035,26.5029,153.035,34.53214,153.035,27.1237,153.035,12.7096
153.194,26.454,153.194,34.56607,153.194,27.09985,153.195,12.7298
153.354,26.3448,153.354,34.51964,153.354,27.0611,153.354,12.85859
153.514,26.2902,153.514,34.24286,153.514,27.18778,153.514,12.59091
153.674,26.2931,153.674,34.3875,153.674,27.12593,153.674,12.82071
153.833,26.4914,153.833,34.30536,153.833,27.05216,153.834,12.84596
153.993,26.2845,153.993,34.48214,153.993,27.06781,153.993,12.70455
154.153,25.9655,154.153,34.26429,154.153,27.04918,154.153,12.73485
154.313,26.431,154.313,34.34643,154.313,27.23398,154.313,12.70455
154.472,26.2701,154.472,34.54643,154.472,27.02981,154.473,12.89899
154.632,26.2385,154.632,34.50714,154.632,27.1237,154.632,12.59091
154.792,26.3276,154.792,34.35357,154.792,27.38227,154.792,12.7096
154.952,26.454,154.952,34.55178,154.952,27.22131,154.952,12.65657
155.111,26.1092,155.111,34.35357,155.111,27.16766,155.112,12.68182
155.271,26.2155,155.271,34.56071,155.271,27.231,155.271,12.61111
155.431,26.2902,155.431,34.45179,155.431,27.1699,155.431,12.73737
155.591,26.2874,155.591,34.66964,155.591,27.30253,155.591,12.66414
155.75,26.2126,155.75,34.35536,155.75,27.16244,155.751,12.75253
155.91,26.3764,155.91,34.20357,155.91,27.29583,155.91,12.51768
156.07,26.2126,156.07,34.37321,156.07,27.17437,156.07,12.67929
156.23,26.5259,156.23,34.12321,156.23,27.29657,156.23,12.61364
156.389,26.4569,156.389,34.45357,156.389,27.21759,156.39,12.57828
156.549,26.3333,156.549,34.39464,156.549,27.23994,156.549,12.83838
156.709,26.204,156.709,34.45714,156.709,27.23025,156.709,12.54545
156.869,26.6437,156.869,34.49464,156.869,27.21982,156.869,12.83081
157.028,26.3879,157.028,34.18929,157.028,27.20492,157.029,12.56061
157.188,26.3017,157.188,34.26072,157.188,27.14232,157.188,12.64394
157.348,26.3477,157.348,34.45357,157.348,27.23621,157.348,12.80303
157.508,26.1782,157.508,34.05,157.508,27.08048,157.508,12.60859
157.667,26.6236,157.667,34.15536,157.667,27.17884,157.668,12.68182
157.827,26.069,157.827,34.14821,157.827,27.0693,157.827,13.01768
157.987,26.4397,157.987,34.20893,157.987,27,157.987,12.72727
158.146,25.9167,158.146,34.325,158.146,27.19449,158.147,12.57576
158.306,26.0833,158.306,34.28393,158.306,27.15797,158.306,12.6995
158.466,25.9425,158.466,33.99286,158.466,27.0313,158.466,12.60606
158.626,26.4023,158.626,34.2125,158.626,27.14382,158.626,12.62374
158.785,26.342,158.785,34.24643,158.785,27.05216,158.786,12.76515
158.945,26.2299,158.945,34.13214,158.945,27.1848,158.945,12.72222
159.105,26.658,159.105,34.07679,159.105,27.11028,159.105,12.70455
159.265,26.2644,159.265,34.48928,159.265,27.12519,159.265,12.79293
159.424,26.1667,159.424,34.37321,159.424,27.17884,159.425,12.67424
159.584,26.4569,159.584,34.4625,159.584,26.98286,159.584,12.7601
159.744,26.0431,159.744,34.21071,159.744,27.06557,159.744,12.65657
159.904,26.4799,159.904,34.48571,159.904,27.08271,159.904,12.79545
160.063,26.2471,160.063,34.31786,160.063,27.08867,160.064,12.7702
160.223,26.5747,160.223,34.14821,160.223,27.1304,160.223,12.74747
160.383,26.25,160.383,34.56964,160.383,27.07377,160.383,12.81566
160.543,26.2874,160.543,34.25536,160.543,26.97318,160.543,12.74747
160.702,26.3764,160.702,34.18036,160.702,27.18182,160.703,12.7197
160.862,26.273,160.862,34.45714,160.862,27.1535,160.862,12.80808
161.022,26.2414,161.022,34.43929,161.022,26.9918,161.022,12.74495
161.182,26.158,161.182,34.36607,161.182,27.18554,161.182,12.56061
161.341,26.569,161.341,33.96786,161.341,27.12891,161.342,12.64646
161.501,26.4138,161.501,34.27679,161.501,27.08346,161.501,12.66162
161.661,26.1149,161.661,33.89286,161.661,27.23472,161.661,12.74495
161.821,26.3046,161.821,33.73928,161.821,26.99702,161.821,12.65909
161.98,26.2011,161.98,33.8875,161.98,27.08346,161.981,12.82828
162.14,26.2557,162.14,33.85893,162.14,27.23994,162.14,12.69444
162.3,26.2787,162.3,34.025,162.3,27.01192,162.3,12.66414
162.46,25.9425,162.46,34.11964,162.46,27.12966,162.46,12.51515
162.619,26.3822,162.619,34.29286,162.619,27.10507,162.62,12.87374
162.779,26.4856,162.779,33.68571,162.779,27.11699,162.779,12.68434
162.939,26.1494,162.939,33.925,162.939,27.0462,162.939,12.68182
163.099,26.1868,163.099,33.7375,163.099,27.21162,163.099,12.60354
163.258,26.3707,163.258,33.85536,163.258,27.07899,163.259,12.57323
163.418,26.4856,163.418,33.81071,163.418,27.27049,163.418,12.59596
163.578,26.2845,163.578,33.99643,163.578,27.15052,163.578,12.68182
163.738,26.1523,163.738,34.07143,163.738,27.1699,163.738,12.61364
163.897,26.3506,163.897,33.94464,163.897,27.23398,163.898,12.7197
164.057,26.1724,164.057,33.93929,164.057,26.99776,164.057,12.62626
164.217,26.3937,164.217,33.8,164.217,27.26304,164.217,12.55808
164.377,26.1839,164.377,33.97321,164.377,27.2228,164.377,12.64646
164.536,26.069,164.536,34.37857,164.536,27.07601,164.537,12.62374
164.696,26.2644,164.696,34.03571,164.696,27.09016,164.696,12.62879
164.856,26.4943,164.856,33.83036,164.856,27.16393,164.856,12.64141
165.015,26.1868,165.015,34.22143,165.015,27.17809,165.016,12.96465
165.175,26.3707,165.175,34.04107,165.175,27.14083,165.175,12.76263
165.335,26.3534,165.335,34.16429,165.335,27.15946,165.335,12.84091
165.495,26.2443,165.495,34.20714,165.495,26.99031,165.495,12.76768
165.654,26.3161,165.654,34.17678,165.654,27.08718,165.655,12.7702
165.814,26.3764,165.814,34.12321,165.814,27.04695,165.814,12.58586
165.974,26.2011,165.974,34.15536,165.974,27.17958,165.974,12.70455
166.134,26.1034,166.134,34.14107,166.134,27.08793,166.134,12.69697
166.293,26.3448,166.293,34.16964,166.293,27.08718,166.294,12.71465
166.453,26.5489,166.453,34.40179,166.453,26.98361,166.453,12.71212
166.613,26.3218,166.613,34.31964,166.613,27.09016,166.613,12.82576
166.773,26.2098,166.773,34.19286,166.773,27.16393,166.773,12.79798
166.932,26.3132,166.932,34.28036,166.932,27.1304,166.933,12.44697
167.092,26.1293,167.092,34.28036,167.092,27.03875,167.092,12.75505
167.252,26.1609,167.252,34.225,167.252,27.18331,167.252,12.5
167.412,26.3649,167.412,34.34821,167.412,27.08644,167.412,12.59091
167.571,26.4195,167.571,34.49643,167.571,27.15276,167.572,12.63889
167.731,26.2816,167.731,34.2,167.731,26.97839,167.731,12.84596
167.891,26.2126,167.891,34.23393,167.891,26.97466,167.891,12.6995
168.051,26.2902,168.051,34.35357,168.051,27.1699,168.051,12.64899
168.21,26.2586,168.21,34.05,168.21,27.28391,168.211,12.73485
168.37,26.3333,168.37,33.96071,168.37,26.96796,168.37,12.5505
168.53,26.2529,168.53,33.99464,168.53,27.2079,168.53,12.89394
168.69,26.1724,168.69,33.97857,168.69,27.14307,168.69,12.65404
168.849,26.6667,168.849,33.96786,168.849,27.0462,168.85,12.80303
169.009,26.3534,169.009,34.06786,169.009,27.07675,169.009,12.47222
169.169,26.3764,169.169,33.99286,169.169,27.10954,169.169,12.86111
169.329,26.1868,169.329,34.28214,169.329,27.11028,169.329,12.76263
169.488,26.4598,169.488,34.13036,169.488,27.08346,169.489,12.56313
169.648,26.1782,169.648,34.15714,169.648,27.09985,169.648,12.82323
169.808,26.3937,169.808,34.33393,169.808,27.11177,169.808,12.78535
169.968,26.0345,169.968,33.94107,169.968,27.06185,169.968,12.77273
170.127,26.4253,170.127,34.14107,170.127,26.9918,170.128,12.55303
170.287,26.2902,170.287,33.98928,170.287,27.31744,170.287,12.67172
170.447,26.5287,170.447,33.93929,170.447,27.08793,170.447,12.65909
170.607,26.7414,170.607,33.975,170.607,27.14456,170.607,12.68687
170.766,26.3994,170.766,33.9,170.766,27.09836,170.767,12.69444
170.926,26.5057,170.926,33.91071,170.926,27.05812,170.926,12.62626
171.086,26.319,171.086,33.80893,171.086,27.09836,171.086,12.6995
171.245,26.2902,171.245,34.00536,171.245,27.09687,171.246,12.63384
171.405,26.4856,171.405,33.87679,171.405,27.17958,171.406,12.61111
171.565,26.3305,171.565,33.93214,171.565,27.07973,171.565,12.56313
171.725,26.1609,171.725,33.83393,171.725,27.10134,171.725,12.83586
171.884,26.2328,171.884,34.06071,171.884,27.14307,171.885,12.75505
172.044,26.2443,172.044,33.92857,172.044,27.06632,172.044,12.75505
172.204,26.2184,172.204,33.91964,172.204,27.17288,172.204,12.60859
172.364,26.2385,172.364,33.89464,172.364,26.96349,172.364,12.79545
172.523,26.181,172.523,33.90536,172.523,27.08867,172.524,12.64646
172.683,26.319,172.683,34.09464,172.683,27.06408,172.683,12.75
172.843,26.2155,172.843,34.13036,172.843,27.04322,172.843,12.67677
173.003,26.4109,173.003,33.84464,173.003,27.08867,173.003,12.77273
173.162,26.4914,173.162,34.10536,173.162,27.09538,173.163,12.79545
173.322,26.5603,173.322,33.89464,173.322,27.14531,173.322,12.65404
173.482,26.4483,173.482,34.21786,173.482,27.19896,173.482,12.70455
173.642,26.3649,173.642,33.85,173.642,26.98435,173.642,12.49495
173.801,26.3707,173.801,34.0375,173.801,27.25112,173.802,12.55556
173.961,26.3075,173.961,33.78929,173.961,27.1386,173.961,12.64141
174.121,26.1695,174.121,33.70714,174.121,26.97243,174.121,12.7702
174.281,26.2874,174.281,33.86428,174.281,27.07675,174.281,12.61869
174.44,26.3937,174.44,33.7625,174.44,27.10134,174.441,12.62626
174.6,26.5402,174.6,33.91786,174.6,26.95305,174.6,12.67929
174.76,26.5718,174.76,33.95714,174.76,27.11028,174.76,12.70455
174.92,26.4799,174.92,33.74821,174.92,27.06185,174.92,12.58838
175.079,26.5661,175.079,34.24643,175.079,27.08644,175.08,12.77273
175.239,26.2213,175.239,34.03214,175.239,27.02012,175.239,12.67172
175.399,26.2557,175.399,34.05,175.399,27.08197,175.399,12.61869
175.559,26.273,175.559,34.24643,175.559,27.12668,175.559,12.69444
175.718,26.2155,175.718,34.23036,175.718,27.12146,175.719,12.57071
175.878,26.3305,175.878,34.08929,175.878,27.14158,175.878,12.68182
176.038,26.3391,176.038,34.07322,176.038,26.97019,176.038,12.72475
176.198,26.273,176.198,33.82679,176.198,27.01937,176.198,12.61869
176.357,26.4109,176.357,33.76429,176.357,26.92474,176.358,12.58838
176.517,26.158,176.517,33.83571,176.517,27.11028,176.517,12.66414
176.677,26.2759,176.677,33.83393,176.677,27.06632,176.677,12.65152
176.837,26.1236,176.837,33.53036,176.837,27.14382,176.837,12.7399
176.996,26.4023,176.996,34.0125,176.996,26.89568,176.997,12.56566
177.156,25.9397,177.156,33.87857,177.156,26.98957,177.156,12.61616
177.316,26.3879,177.316,33.64643,177.316,27.07377,177.316,12.7601
177.476,26.3362,177.476,33.53036,177.476,27.00075,177.476,12.48232
177.635,26.2816,177.635,33.57143,177.635,26.99851,177.636,12.64899
177.795,26.3994,177.795,33.62321,177.795,27.11326,177.795,12.66414
177.955,26.2443,177.955,33.69107,177.955,27.04322,177.955,12.64899
178.114,26.2816,178.114,33.69286,178.114,26.97914,178.115,12.65404
178.274,26.3247,178.274,33.65893,178.274,27.04769,178.275,12.68182
178.434,26.319,178.434,33.65714,178.434,27.05663,178.434,12.73485
178.594,26.1264,178.594,33.66786,178.594,27.03428,178.594,12.49747
178.753,26.3994,178.753,33.875,178.753,27.03577,178.754,12.8005
178.913,26.3046,178.913,33.8625,178.913,26.93443,178.913,12.7096
179.073,26.25,179.073,33.81964,179.073,27.05961,179.073,12.75505
179.233,26.4943,179.233,33.80714,179.233,27.04471,179.233,12.60354
179.392,26.1207,179.392,33.73214,179.392,27.05365,179.393,12.60354
179.552,26.4109,179.552,34.03036,179.552,27.06334,179.552,12.59343
179.712,26.2213,179.712,34.05893,179.712,26.85395,179.712,12.78283
179.872,26.2328,179.872,33.76786,179.872,27.02682,179.872,12.78788
180.031,26.4425,180.031,33.69643,180.031,26.96572,180.032,12.6995
180.191,26.4454,180.191,33.61786,180.191,27.03204,180.191,12.66667
180.351,26.2989,180.351,33.62857,180.351,27.14232,180.351,12.65404
180.511,26.4052,180.511,33.68214,180.511,27.21088,180.511,12.65152
180.67,26.4425,180.67,33.56607,180.67,26.95082,180.671,12.45707
180.83,26.1868,180.83,33.67678,180.83,27.15127,180.83,12.76768
180.99,26.2845,180.99,33.75357,180.99,26.96945,180.99,12.6995
181.15,26.4684,181.15,33.29286,181.15,27.04545,181.15,12.68939
181.309,26.523,181.309,33.33929,181.309,26.80402,181.31,12.5
181.469,26.4713,181.469,33.63572,181.469,27.01267,181.469,12.56061
181.629,26.5747,181.629,33.62857,181.629,26.99329,181.629,12.79798
181.789,26.2615,181.789,33.73214,181.789,27.01043,181.789,12.72727
181.948,26.3707,181.948,33.52321,181.948,26.90015,181.949,12.65404
182.108,26.2845,182.108,33.66786,182.108,27.02534,182.108,12.7904
182.268,26.3707,182.268,33.72857,182.268,26.87556,182.268,12.61616
182.428,26.5316,182.428,33.625,182.428,27.14531,182.428,12.81818
182.587,26.3649,182.587,34.03571,182.587,27.1237,182.588,12.70202
182.747,26.3103,182.747,33.70893,182.747,26.96051,182.747,12.41414
182.907,26.3563,182.907,34.01607,182.907,27.10656,182.907,12.41414
183.067,26.5287,183.067,34.15179,183.067,27.05142,183.067,12.73737
183.226,25.9425,183.226,34.04464,183.226,27.02385,183.227,12.65404
183.386,26.5805,183.386,33.74286,183.386,27.00969,183.386,12.81061
183.546,26.2874,183.546,34.02321,183.546,26.95082,183.546,12.7197
183.706,26.6379,183.706,33.97857,183.706,26.99404,183.706,12.64646
183.865,26.3764,183.865,33.76429,183.865,26.94709,183.866,12.65404
184.025,26.523,184.025,33.89464,184.025,26.99776,184.025,12.66414
184.185,26.7557,184.185,33.74107,184.185,27.09612,184.185,12.71717
184.344,26.2902,184.344,33.85179,184.344,26.89195,184.345,12.69697
184.504,26.5,184.504,33.70536,184.504,27.08718,184.505,12.57828
184.664,26.092,184.664,33.38929,184.664,26.98435,184.664,12.52778
184.824,26.3764,184.824,33.80357,184.824,27.06185,184.824,12.65404
184.983,26.4943,184.983,33.81964,184.983,26.79434,184.984,12.77778
185.143,26.3448,185.143,33.8875,185.143,27.01341,185.144,12.49747
185.303,26.4454,185.303,33.74464,185.303,26.86065,185.303,12.75253
185.463,26.5632,185.463,33.92857,185.463,26.98063,185.463,12.57323
185.622,26.4741,185.622,33.82857,185.622,26.9456,185.623,12.60101
185.782,26.3161,185.782,33.775,185.782,26.98361,185.782,12.61111
185.942,26.3621,185.942,33.65357,185.942,26.94188,185.942,12.67424
186.102,26.6178,186.102,33.6375,186.102,26.8994,186.102,12.65657
186.261,26.4023,186.261,33.78036,186.261,26.98733,186.262,12.64141
186.421,26.3477,186.421,33.71071,186.421,27.02832,186.421,12.68434
186.581,26.6609,186.581,33.60714,186.581,27.05887,186.581,12.68182
186.741,26.3477,186.741,33.49464,186.741,26.99925,186.741,12.57828
186.9,26.4856,186.9,33.91786,186.9,27.1304,186.901,12.64394
187.06,26.4195,187.06,33.64464,187.06,26.9538,187.06,12.80303
187.22,26.704,187.22,33.675,187.22,26.89568,187.22,12.85101
187.38,26.2385,187.38,33.825,187.38,27.04098,187.38,12.57576
187.539,26.4914,187.539,33.86428,187.539,27.05961,187.54,12.52778
187.699,26.296,187.699,33.71964,187.699,27.09836,187.699,12.72222
187.859,26.2586,187.859,33.53929,187.859,26.84128,187.859,12.67677
188.019,26.4914,188.019,33.51072,188.019,26.92474,188.019,12.65152
188.178,26.1293,188.178,33.85357,188.178,26.95455,188.179,12.62121
188.338,26.5172,188.338,33.73393,188.338,27.13115,188.338,12.68182
188.498,26.5201,188.498,33.66786,188.498,26.97094,188.498,12.7601
188.658,26.2931,188.658,33.77857,188.658,26.81297,188.658,12.54798
188.817,26.1149,188.817,33.58214,188.817,26.98584,188.818,12.88636
188.977,26.592,188.977,34.13036,188.977,27.02757,188.977,12.53535
189.137,26.2615,189.137,34.00893,189.137,26.82563,189.137,12.6995
189.297,26.6523,189.297,33.60179,189.297,27.00075,189.297,12.78788
189.456,26.454,189.456,33.65179,189.456,27.16841,189.457,12.60859
189.616,26.4109,189.616,33.70714,189.616,26.88078,189.616,12.60606
189.776,26.3966,189.776,33.51072,189.776,27.02534,189.776,12.63636
189.936,26.3103,189.936,33.42678,189.936,27.04396,189.936,12.58081
190.095,26.1782,190.095,33.43214,190.095,27.00373,190.096,12.55808
190.255,26.431,190.255,33.46607,190.255,27.05812,190.255,12.73232
190.415,26.5057,190.415,33.38214,190.415,27.08122,190.415,12.59596
190.575,26.4799,190.575,33.49464,190.575,27.00969,190.575,12.62374
190.734,26.7356,190.734,33.51964,190.734,26.95827,190.735,12.69192
190.894,26.5259,190.894,33.60536,190.894,26.94784,190.894,12.54545
191.054,25.9856,191.054,33.64643,191.054,27.10507,191.054,12.59596
191.213,26.2471,191.213,33.6,191.213,26.97392,191.214,12.7702
191.373,26.2759,191.373,33.76072,191.373,26.92325,191.374,12.68939
