[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean
12.3,25.8707,12.3,37.27143,12.3,27.32861,12.3,12.80303
12.46,26.1695,12.46,37.4,12.46,27.44262,12.46,12.95202
12.62,26.0172,12.62,37.18036,12.62,27.31371,12.62,12.9697
12.78,26.046,12.78,37.25179,12.78,27.21535,12.78,12.84091
12.939,26.0718,12.939,37.15893,12.939,27.39866,12.939,13.0101
13.099,26.1724,13.099,37.31071,13.099,27.32787,13.099,13.09091
13.259,26.1466,13.259,37.12679,13.259,27.3614,13.259,13.00253
13.418,26.1552,13.418,37.0625,13.418,27.25186,13.419,12.84848
13.578,26.1925,13.578,36.80893,13.578,27.43592,13.578,13.00505
13.738,26.0172,13.738,36.78393,13.738,27.35618,13.738,13.03535
13.898,25.8218,13.898,37.05178,13.898,27.37556,13.898,12.93687
14.057,26.3161,14.057,36.92678,14.057,27.28987,14.057,13.02525
14.217,25.9655,14.217,36.74464,14.217,27.20492,14.217,13.13384
14.377,26.1322,14.377,36.71429,14.377,27.37034,14.377,13.22222
14.537,26.0029,14.537,36.71071,14.537,27.20566,14.537,13.32323
14.696,26.0977,14.696,36.85536,14.696,27.3301,14.696,13.30808
14.856,26.3448,14.856,36.64643,14.856,27.30402,14.856,13.09343
15.016,26.1753,15.016,36.70714,15.016,27.32787,15.016,12.90152
15.176,25.7902,15.176,36.74464,15.176,27.23249,15.176,12.98737
15.335,25.6063,15.335,36.525,15.335,27.36289,15.335,13.04798
15.495,26.092,15.495,36.51072,15.495,27.3532,15.495,13.10859
15.655,25.9655,15.655,36.74821,15.655,27.31073,15.655,13.05808
15.815,26.1034,15.815,36.49464,15.815,27.39493,15.815,13.09848
15.974,26.227,15.974,36.67143,15.974,27.269,15.974,13.14141
16.134,26.0029,16.134,36.43036,16.134,27.34352,16.134,13.03283
16.294,26.0718,16.294,36.6375,16.294,27.33905,16.294,12.90909
16.454,26.1753,16.454,36.44643,16.454,27.24218,16.454,13.15404
16.613,25.8822,16.613,36.5875,16.613,27.33085,16.613,12.94192
16.773,26.0345,16.773,36.58393,16.773,27.28987,16.773,12.99495
16.933,26.1351,16.933,36.49107,16.933,27.28912,16.933,12.94444
17.093,25.977,17.093,36.40357,17.093,27.32712,17.093,12.97475
17.252,26.4425,17.252,36.77679,17.252,27.30104,17.252,12.93687
17.412,25.9282,17.412,36.60357,17.412,27.37481,17.412,12.83333
17.572,26.2126,17.572,36.54107,17.572,27.45604,17.572,12.82576
17.732,26.0115,17.732,36.42857,17.732,27.43219,17.732,12.89646
17.891,25.8994,17.891,36.65179,17.891,27.44411,17.891,12.9899
18.051,26.1034,18.051,36.49643,18.051,27.39791,18.051,12.81566
18.211,26.0115,18.211,36.41429,18.211,27.3465,18.211,13.35354
18.371,26.2098,18.371,36.33214,18.371,27.44635,18.371,13.25
18.53,26.158,18.53,36.43929,18.53,27.48137,18.53,13.34596
18.69,25.9856,18.69,36.08929,18.69,27.34799,18.69,13.18182
18.85,26.1408,18.85,36.32322,18.85,27.38525,18.85,13.26263
19.01,26,19.01,36.28214,19.01,27.35842,19.01,13.05556
19.169,26.1868,19.169,36.06964,19.169,27.20864,19.169,13.22727
19.329,26.2098,19.329,36.04821,19.329,27.44858,19.329,13.01263
19.489,26.1437,19.489,36.075,19.489,27.24739,19.489,13.24242
19.649,26.181,19.649,35.9375,19.649,27.32712,19.649,13.10101
19.808,26.1437,19.808,36.06607,19.808,27.30402,19.808,12.89899
19.968,25.9856,19.968,36.12857,19.968,27.45678,19.968,13.06061
20.128,25.8822,20.128,36.07143,20.128,27.37109,20.128,13.17677
20.287,25.8534,20.287,35.97679,20.287,27.36736,20.288,13.10354
20.447,26.1149,20.447,35.94822,20.447,27.3696,20.447,13.00758
20.607,25.9655,20.607,36.19464,20.607,27.35469,20.607,12.97222
20.767,25.9828,20.767,35.96071,20.767,27.45529,20.767,13.09848
20.926,25.9943,20.926,36.12321,20.926,27.37332,20.926,12.88636
21.086,26.0517,21.086,35.91607,21.086,27.32191,21.086,13.09091
21.246,26.0805,21.246,36.25536,21.246,27.43666,21.246,13.12121
21.406,26.3046,21.406,36.09821,21.406,27.37779,21.406,13.04293
21.565,26.0805,21.565,36.175,21.565,27.25633,21.565,12.97222
21.725,25.9655,21.725,35.92857,21.725,27.26379,21.725,13.06818
21.885,26.0115,21.885,36.05,21.885,27.24963,21.885,12.95202
22.045,26.092,22.045,36.0125,22.045,27.39568,22.045,13.03535
22.204,26,22.204,35.875,22.204,27.42176,22.204,12.82323
22.364,26.2155,22.364,36.01429,22.364,27.20864,22.364,12.94697
