X,Y
0.000,7373.155
0.946,7171.022
1.891,7210.956
2.837,7291.293
3.782,7429.137
4.728,7433.502
5.673,7243.714
6.619,7443.398
7.564,7173.967
8.510,7137.016
9.456,7404.742
10.401,7237.157
11.347,7168.328
12.292,7419.238
13.238,7078.155
14.183,7225.308
15.129,7185.196
16.075,7152.842
17.020,7184.545
17.966,7305.375
18.911,7307.254
19.857,7188.827
20.802,7402.758
21.748,7337.825
22.693,7261.664
23.639,7224.866
24.585,7230.970
25.530,7324.640
26.476,7149.346
27.421,7166.273
28.367,7053.020
29.312,7388.243
30.258,7183.756
31.204,7187.208
32.149,7213.587
33.095,7104.081
34.040,7071.135
34.986,7393.680
35.931,7419.630
36.877,7326.430
37.822,7252.728
38.768,7371.570
39.714,7253.160
40.659,7146.127
41.605,7207.682
42.550,7203.708
43.496,7238.976
44.441,7260.649
45.387,7075.971
46.333,7317.310
47.278,7310.187
48.224,7187.947
49.169,7190.521
50.115,7203.949
51.060,6959.750
52.006,7121.512
52.951,7155.099
53.897,7229.866
54.843,7154.368
55.788,7138.164
56.734,7108.063
57.679,7159.843
58.625,7086.453
59.570,7080.449
60.516,7102.895
61.462,7413.838
62.407,7035.687
63.353,7104.675
64.298,7218.048
65.244,7130.870
66.189,7171.381
67.135,7191.605
68.080,7200.782
69.026,7140.706
69.972,7153.048
70.917,7166.537
71.863,7106.784
72.808,6966.943
73.754,7067.752
74.699,7164.136
75.645,7100.389
76.590,7301.808
77.536,7150.018
78.482,7300.567
79.427,7129.682
80.373,7077.156
81.318,7223.509
82.264,7066.782
83.209,7094.713
84.155,7226.141
85.101,7158.979
86.046,7257.312
86.992,7188.564
87.937,7212.879
88.883,7064.564
89.828,7214.173
90.774,7089.251
91.719,7107.812
92.665,7022.321
93.611,7203.955
94.556,7156.800
95.502,7263.272
96.447,7116.538
97.393,7093.728
98.338,7213.067
99.284,7043.551
100.230,7085.356
101.175,7186.124
102.121,7023.063
103.066,7184.625
104.012,7122.894
104.957,7246.704
105.903,7179.731
106.848,7142.454
107.794,6902.612
108.740,7204.028
109.685,7100.993
110.631,7134.381
111.576,7299.999
112.522,7043.729
113.467,7149.689
114.413,7064.791
115.359,7035.325
116.304,7208.200
117.250,6987.967
118.195,7360.544
119.141,7279.308
120.086,7077.667
121.032,7274.128
121.977,7346.862
122.923,7191.029
123.869,7069.265
124.814,7026.865
125.760,7176.366
126.705,7081.064
127.651,7292.047
128.596,7165.125
129.542,7162.770
130.488,7235.936
131.433,7180.397
132.379,7230.474
133.324,7116.008
134.270,7142.647
135.215,7177.230
136.161,7218.167
137.106,7035.193
138.052,7103.804
138.998,7246.790
139.943,7144.223
140.889,7145.991
141.834,7122.999
142.780,7201.183
143.725,7352.740
144.671,7287.196
145.616,7187.979
146.562,7096.805
147.508,7248.858
148.453,7116.128
149.399,7278.218
150.344,7162.785
151.290,7065.838
152.235,7237.017
153.181,7251.640
154.127,7178.328
155.072,7291.574
156.018,7097.183
156.963,7166.014
157.909,7078.627
158.854,7100.930
159.800,7279.988
160.745,7119.467
161.691,7249.496
162.637,7162.481
163.582,7288.951
164.528,7383.509
165.473,7264.287
166.419,7188.515
167.364,7042.976
168.310,6950.373
169.256,7257.656
170.201,7386.949
171.147,7293.904
172.092,7284.433
173.038,7494.616
