X,Y,X,Y,X,Y,X,Y,X,Y
132.379,2236.062,132.379,5821.958,132.379,5346.139,132.379,14393.932,132.379,7823.727
134.271,2289.422,134.27,5831.904,134.271,5238.821,134.27,14199.027,134.27,7985.134
136.162,2302.059,136.161,5698.509,136.162,5257.985,136.161,14372.134,136.161,7791.713
138.053,2217.654,138.052,5697.522,138.053,5082.703,138.052,14339.299,138.052,7751.383
139.944,2214.82,139.943,5733.988,139.944,5210.92,139.943,14077.32,139.943,7666.325
141.835,2213.153,141.835,5755.459,141.835,5198.632,141.834,14097.136,141.834,7699.792
143.726,2199.739,143.726,5648.105,143.726,5188.83,143.726,14081.115,143.726,7469.716
145.617,2184.801,145.617,5873.434,145.617,5145.198,145.617,13840.427,145.617,7590.485
147.508,2184.592,147.508,5710.705,147.508,5095.581,147.508,13634.532,147.508,7553.923
149.4,2167.673,149.399,5820.887,149.4,5157.967,149.399,13805.664,149.399,7445.619
151.291,2187.744,151.29,5861.455,151.291,5099.034,151.29,13453.214,151.29,7562.343
153.182,2248.836,153.181,5752.278,153.182,5012.485,153.181,13438.216,153.181,7375.363
155.073,2184.974,155.072,5690.028,155.073,5089.41,155.072,13494.056,155.072,7369.787
156.964,2290.135,156.964,5649.13,156.964,5043.362,156.963,13319.785,156.963,7521.256
158.855,2111.814,158.855,5765.156,158.855,4942.261,158.855,13155.729,158.855,7388.713
160.746,2140.049,160.746,5696.23,160.746,5064.393,160.746,13301.163,160.746,7304.394
162.638,2207.839,162.637,5689.345,162.638,5149.233,162.637,13072.175,162.637,7309.062
164.529,2109.187,164.528,6770.123,164.529,4976.666,164.528,13199.906,164.528,7210.598
166.42,2161.944,166.419,8301.695,166.42,5025.381,166.419,12935.855,166.419,7074.49
168.311,2192.57,168.31,8475.869,168.311,5058.028,168.31,12907.244,168.31,7087.015
170.202,2215.298,170.201,8113.902,170.202,5006.336,170.201,12890.467,170.201,7009.402
172.093,2153.531,172.093,7991.728,172.093,4829.099,172.092,12926.666,172.092,7094.854
173.984,2144.615,173.984,7723.789,173.984,5045.64,173.984,12673.971,173.984,7171.751
175.876,2182.479,175.875,7664.494,175.876,4844.459,175.875,12757.843,175.875,7183.744
177.767,2174.772,177.766,7323.849,177.767,4992.311,177.766,12868.688,177.766,7086.498
179.658,2158.234,179.657,7237.92,179.658,5005.761,179.657,12525.141,179.657,7073.766
181.549,2123.523,181.548,7165.309,181.549,5118.396,181.548,12542.817,181.548,7115.804
183.44,2122.888,183.439,6904.121,183.44,4953.306,183.439,12525.657,183.439,7328.212
185.331,2117.075,185.33,6912.379,185.331,4953.33,185.33,12617.633,185.33,7187.031
187.222,2099.7,187.222,6820.708,187.222,4944.317,187.221,12621.942,187.221,7290.7
189.113,2140.658,189.113,6568.063,189.113,5144.075,189.113,12589.574,189.113,7077.104
191.005,2076.488,191.004,6538.032,191.005,4942.875,191.004,12526.457,191.004,7136.142
192.896,2102.154,192.895,6517.627,192.896,4943.96,192.895,12435.796,192.895,7252.191
194.787,2079.533,194.786,6404.05,194.787,5007.959,194.786,12228.044,194.786,6994.166
196.678,2157.84,196.677,6342.51,196.678,4906.312,196.677,12361.427,196.677,7124.67
198.569,1989.612,198.568,6255.114,198.569,4876.973,198.568,12326.893,198.568,6853.808
200.46,2003.677,200.459,6225.067,200.46,5044.886,200.459,12356.345,200.459,6938.128
202.351,2064.928,202.351,6225.175,202.351,4679.263,202.35,12405.721,202.35,6991.266
204.243,2064.508,204.242,6205.855,204.243,4901.903,204.242,12334.813,204.242,6945.757
206.134,2056.02,206.133,6051.018,206.134,4847.289,206.133,12185.107,206.133,6890.631
208.025,2118.424,208.024,6030.992,208.025,4692.829,208.024,12154.769,208.024,6762.442
209.916,2035.393,209.915,6082.674,209.916,4969.809,209.915,12173.273,209.915,6970.018
211.807,2035.134,211.806,5983.526,211.807,4834.264,211.806,12241.499,211.806,6837.477
213.698,2051.125,213.697,5893.836,213.698,4831.289,213.697,12416.766,213.697,6883.011
215.589,1969.808,215.588,5965.334,215.589,4895.417,215.588,12321.426,215.588,6612.463
217.48,2027.077,217.48,5897.462,217.48,4761.572,217.479,12164.704,217.479,6776.389
219.372,2012.728,219.371,5787.413,219.372,4699.405,219.371,12291.006,219.371,6678.405
221.263,2061.223,221.262,5817.304,221.263,4788.229,221.262,12280.09,221.262,6743.435
223.154,1996.93,223.153,5832.714,223.154,4705.312,223.153,12367.835,223.153,6695.634
225.045,2062.797,,,225.045,4749.781,225.044,12348.38,225.044,6714.529
