[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean,X,Y,X,Y
48.224,11926.551,48.204,15031.881,48.224,18109.18,48.2,11752.315,48.224,20454.773,48.224,15672.076
49.169,11947.562,49.149,15048.735,49.169,18169.248,49.145,11732.549,49.169,20548.795,49.169,15477.493
50.115,12004.364,50.094,15057.248,50.115,18166.641,50.09,11727.178,50.115,20364.734,50.115,15627.146
51.06,11938.259,51.039,15036.808,51.06,18084.398,51.035,11726.609,51.06,20522.193,51.06,15525.589
52.006,11970.2,51.984,15031.174,52.006,18161.17,51.98,11740.785,52.006,20442.953,52.006,15519.677
52.951,11967.807,52.93,15070.898,52.951,18147.582,52.925,11722.611,52.951,20545.617,52.951,15591.824
53.897,11992.165,53.875,15042.151,53.897,18138.531,53.87,11744.149,53.897,20494.861,53.897,15570.143
54.843,11947.873,54.82,15073.971,54.843,18160.619,54.816,11691.65,54.843,20536.773,54.843,15485.372
55.788,11974.281,55.765,15055.107,55.788,18144.506,55.761,11709.231,55.788,20250.234,55.788,15590.307
56.734,11928.76,56.71,15043.161,56.734,18142.785,56.706,11709.063,56.734,20339.064,56.734,15490.057
57.679,11908.742,57.655,15020.506,57.679,18137.125,57.651,11702.32,57.679,20548.041,57.679,15642.126
58.625,11889.594,58.601,15010.214,58.625,18184.264,58.596,11698.711,58.625,20396.51,58.625,15357.445
59.57,11920.605,59.546,15036.853,59.57,18204.564,59.541,11702.719,59.57,20319.682,59.57,15542.82
60.516,11938.753,60.491,15022.116,60.516,18134.82,60.486,11684.975,60.516,20152.086,60.516,15359.975
61.462,11896.347,61.436,15031.477,61.462,18096.762,61.431,11708.228,61.462,20279.953,61.462,15425.594
62.407,11927.146,62.381,15014.568,62.407,18100.031,62.376,11665.963,62.407,20253.869,62.407,15462.59
63.353,11937.735,63.326,15029.98,63.353,18125.447,63.321,11674.672,63.353,20147.402,63.353,15495.398
64.298,11915.214,64.272,15036.047,64.298,18119.955,64.267,11706.085,64.298,20605.461,64.298,15474.412
65.244,11901.458,65.217,15019.322,65.244,18168.111,65.212,11707.496,65.244,20308.145,65.244,15562.877
66.189,11880.508,66.162,15005.459,66.189,18197.744,66.157,11689.76,66.189,20364.961,66.189,15649.855
67.135,11913.56,67.107,15015.616,67.135,18173.193,67.102,11680.458,67.135,20544.23,67.135,15343.447
68.08,11903.971,68.052,15008.673,68.08,18147.248,68.047,11667.464,68.08,20354.502,68.08,15490.805
69.026,11908.176,68.997,15028.819,69.026,18196.578,68.992,11678.508,69.026,20299.549,69.026,15495.852
69.972,11884.182,69.943,15036.523,69.972,18148.717,69.937,11700.784,69.972,20261.486,69.972,15365.596
70.917,11861.904,70.888,15029.829,70.917,18186.926,70.882,11664.335,70.917,20104.209,70.917,15495.032
71.863,11842.463,71.833,15029.155,71.863,18152.176,71.827,11704.073,71.863,20197.305,71.863,15566.209
72.808,11816.639,72.778,15058.807,72.808,18099.781,72.772,11646.438,72.808,20323.777,72.808,15376.723
73.754,11816.101,73.723,15056.803,73.754,18155.242,73.717,11671.219,73.754,20208.986,73.754,15427.872
74.699,11827.203,74.668,15044.093,74.699,18131.953,74.663,11671.696,74.699,20139.791,74.699,15580.921
75.645,11874.988,75.614,15061.276,75.645,18176.609,75.608,11643.301,75.645,20299.115,75.645,15272.949
76.59,11824.999,76.559,15057.185,76.59,18117.551,76.553,11633.49,76.59,20331.008,76.59,15414.11
77.536,11853.599,77.504,15035.465,77.536,18166.84,77.498,11634.463,77.536,20173.225,77.536,15338.543
78.482,11792.004,78.449,15007.66,78.482,18165.51,78.443,11614.595,78.482,20214.648,78.482,15487.668
79.427,11826.558,79.394,15026.854,79.427,18097.629,79.388,11628.153,79.427,20108.652,79.427,15486.393
80.373,11829.74,80.339,15041.03,80.373,18124.402,80.333,11641.343,80.373,20395.877,80.373,15402.855
81.318,11817.446,81.285,15034.682,81.318,18122.227,81.278,11611.983,81.318,20170.859,81.318,15538.456
82.264,11812.602,82.23,15032.862,82.264,18088.375,82.223,11628.472,82.264,20013.99,82.264,15285.139
83.209,11765.568,83.175,15044.66,83.209,18144.678,83.168,11662.484,83.209,20048.232,83.209,15322.831
84.155,11793.251,84.12,15018.09,84.155,18120.555,84.114,11623.604,84.155,20145.473,84.155,15364.96
85.101,11764.848,85.065,15039.823,85.101,18177.502,85.059,11637.149,85.101,19996.383,85.101,15097.142
86.046,11794.48,86.01,15037.304,86.046,18113.953,86.004,11644.938,86.046,20066.906,86.046,15437.771
86.992,11764.903,86.956,15010.75,86.992,18019.498,86.949,11637.136,86.992,20144.582,86.992,15332.574
87.937,11742.465,87.901,15010.632,87.937,18096.549,87.894,11638.602,87.937,19694.768,87.937,15420.747
88.883,11773.33,88.846,15015.312,88.883,18112.602,88.839,11638.107,88.883,20005.818,88.883,15200.318
89.828,11792.44,89.791,15030.585,89.828,18080.123,89.784,11657.206,89.828,20167.215,89.828,15170.38
90.774,11767.625,90.736,15022.962,90.774,18062.145,90.729,11648.14,90.774,19917.996,90.774,15249.92
