X,Y
0.000,21479.250
0.946,21467.664
1.891,21654.820
2.837,21525.420
3.782,21339.631
4.728,21325.115
5.673,21530.914
6.619,21213.162
7.564,21156.566
8.510,21342.414
9.456,21243.396
10.401,21247.811
11.347,21229.799
12.292,21232.246
13.238,21091.316
14.183,21223.941
15.129,21175.514
16.075,20913.951
17.020,21027.512
17.966,20935.861
18.911,20912.908
19.857,20967.729
20.802,21047.256
21.748,20916.248
22.693,20963.914
23.639,20856.824
24.585,20674.162
25.530,20760.141
26.476,20943.066
27.421,20572.807
28.367,20655.896
29.312,20794.146
30.258,20635.523
31.204,20688.131
32.149,20639.650
33.095,20581.377
34.040,20849.260
34.986,20558.598
35.931,20761.012
36.877,20403.816
37.822,20449.863
38.768,20462.318
39.714,20362.979
40.659,20342.992
41.605,20319.562
42.550,20377.785
43.496,20370.898
44.441,20436.982
45.387,20173.666
46.333,20259.404
47.278,20176.938
48.224,20126.592
49.169,20215.146
50.115,20271.189
51.060,20121.842
52.006,20094.373
52.951,20182.742
53.897,19901.891
54.843,20066.393
55.788,20038.643
56.734,19992.035
57.679,19975.041
58.625,20092.895
59.570,19839.467
60.516,19782.861
61.462,19840.631
62.407,19903.904
63.353,19694.689
64.298,19769.322
65.244,19815.793
66.189,19834.539
67.135,19800.385
68.080,19754.260
69.026,19998.764
69.972,19733.596
70.917,19557.688
71.863,19533.354
72.808,19506.789
73.754,19727.506
74.699,19478.475
75.645,19721.172
76.591,19477.139
77.536,19585.043
78.482,19503.311
79.427,19634.891
80.373,19398.939
81.318,19452.723
82.264,19351.080
83.209,19355.881
84.155,19427.900
85.101,19445.697
86.046,19390.160
86.992,19444.016
87.937,19305.031
88.883,19255.484
89.828,19134.416
90.774,19202.127
91.720,19197.658
92.665,19081.020
93.611,19218.525
94.556,19205.287
95.502,19087.670
96.447,19182.320
97.393,19085.625
98.338,19045.557
99.284,19026.229
100.230,19123.102
101.175,19124.506
102.121,18992.613
103.066,19094.455
104.012,18883.309
104.957,18761.535
105.903,19070.410
106.848,18967.285
107.794,18813.844
108.740,18910.398
109.685,18859.705
110.631,18763.771
111.576,18757.314
112.522,18777.703
113.467,18673.225
114.413,18772.699
115.359,18685.953
116.304,18520.291
117.250,18696.293
118.195,18663.709
119.141,18581.994
120.086,18512.617
121.032,18622.150
121.977,18441.525
122.923,18624.289
123.869,18677.873
124.814,18797.004
125.760,19226.102
126.705,19224.129
127.651,19277.650
128.596,19226.182
129.542,19194.740
130.488,19278.521
131.433,19330.391
132.379,19243.031
133.324,19228.000
134.270,19043.082
135.215,19197.080
136.161,19226.387
137.106,19046.664
138.052,18898.529
138.998,18997.676
139.943,18936.828
140.889,18981.350
141.834,18956.879
142.780,19024.223
143.725,19053.199
144.671,18878.396
145.617,18716.896
146.562,18839.859
147.508,18743.623
148.453,18755.670
149.399,18809.707
150.344,18799.125
151.290,18830.529
152.235,18886.305
153.181,18762.062
154.127,18536.752
155.072,18639.500
156.018,18785.059
156.963,18873.514
157.909,18669.139
158.854,18589.797
159.800,18588.273
160.746,18504.686
161.691,18401.156
162.637,18546.494
163.582,17884.209
164.528,18427.072
165.473,18526.139
166.419,18390.887
167.364,18662.938
168.310,18631.557
169.256,18451.502
170.201,18347.344
171.147,18595.070
172.092,18558.742
173.038,18429.801
173.983,18511.789
174.929,18622.588
175.875,18718.523
176.820,18980.551
177.766,19320.959
178.711,19253.195
179.657,19160.762
180.602,19400.309
181.548,19137.957
182.493,19269.607
183.439,19161.111
184.385,19376.039
185.330,19189.410
186.276,19306.236
187.221,19310.957
188.167,19131.221
189.112,19274.381
190.058,19198.529
191.003,19245.600
191.949,19091.129
192.895,18943.449
193.840,19065.195
194.786,19171.783
195.731,19085.244
196.677,19063.947
197.622,19051.840
198.568,18999.416
199.514,18946.936
200.459,19199.379
201.405,19003.158
202.350,18864.590
203.296,18948.996
204.241,19185.324
205.187,18962.422
206.132,18867.420
207.078,18741.322
208.024,18985.652
208.969,19019.809
209.915,18720.689
210.860,18800.320
211.806,18959.486
212.751,18649.396
213.697,18722.234
214.643,18842.438
215.588,18712.031
216.534,18617.434
217.479,18707.949
218.425,18618.422
219.370,18545.078
220.316,18510.094
221.261,18450.840
222.207,18448.576
223.153,18510.328
224.098,18430.035
225.044,18549.361
225.989,18551.084
226.935,18286.037
227.880,18569.588
228.826,18373.895
229.772,18300.547
230.717,18331.479
231.663,18482.775
232.608,18343.650
233.554,18507.219
234.499,18252.967
235.445,18344.902
236.390,18279.303
237.336,18348.154
238.282,18476.748
239.227,18510.426
240.173,18360.986
241.118,18408.131
242.064,18414.195
243.009,18345.035
243.955,18355.793
244.901,18419.414
245.846,18184.295
246.792,18269.424
