X,Y
0.000,4753.992
1.891,4658.108
3.782,4774.090
5.673,4803.343
7.565,4719.046
9.456,4778.688
11.347,4858.621
13.238,4866.395
15.129,4764.584
17.020,4932.435
18.911,4855.844
20.802,4830.208
22.694,4807.768
24.585,4776.046
26.476,4872.112
28.367,4760.871
30.258,4744.307
32.149,4755.854
34.040,4766.000
35.932,4724.437
37.823,4612.875
39.714,4838.643
41.605,4830.920
43.496,4802.547
45.387,4629.086
47.278,4731.224
49.169,4798.340
51.061,4686.126
52.952,4796.682
54.843,4670.094
56.734,4728.052
58.625,4648.005
60.516,4568.823
62.407,4771.510
64.299,4730.059
66.190,4717.597
68.081,4671.537
69.972,4672.194
71.863,4901.500
73.754,4661.682
75.645,4736.568
77.537,4685.608
79.428,4666.700
81.319,4858.313
83.210,4672.954
85.101,4785.605
86.992,4687.503
88.883,4653.961
90.774,4771.468
92.666,4798.508
94.557,4771.017
96.448,4706.771
98.339,4683.423
100.230,4591.875
102.121,4831.394
104.012,4654.678
105.904,4727.963
107.795,4590.538
109.686,4806.594
111.577,4603.601
113.468,5049.606
115.359,5304.513
117.250,5292.148
119.141,5383.468
121.033,5280.137
122.924,5404.299
124.815,5333.967
126.706,5362.348
128.597,5387.482
130.488,5378.473
132.379,5346.139
134.271,5238.821
136.162,5257.985
138.053,5082.703
139.944,5210.920
141.835,5198.632
143.726,5188.830
145.617,5145.198
147.508,5095.581
149.400,5157.967
151.291,5099.034
153.182,5012.485
155.073,5089.410
156.964,5043.362
158.855,4942.261
160.746,5064.393
162.638,5149.233
164.529,4976.666
166.420,5025.381
168.311,5058.028
170.202,5006.336
172.093,4829.099
173.984,5045.640
175.876,4844.459
177.767,4992.311
179.658,5005.761
181.549,5118.396
183.440,4953.306
185.331,4953.330
187.222,4944.317
189.113,5144.075
191.005,4942.875
192.896,4943.960
194.787,5007.959
196.678,4906.312
198.569,4876.973
200.460,5044.886
202.351,4679.263
204.243,4901.903
206.134,4847.289
208.025,4692.829
209.916,4969.809
211.807,4834.264
213.698,4831.289
215.589,4895.417
217.480,4761.572
219.372,4699.405
221.263,4788.229
223.154,4705.312
225.045,4749.781
