[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean
10.064,19.417,10.064,21.66,10.064,24.36553,10.064,21.8463,10.064,10.64107
10.224,19.34008,10.224,21.71,10.224,24.18561,10.224,21.61111,10.224,10.76429
10.383,19.10931,10.383,21.5,10.383,24.31629,10.383,21.87963,10.383,10.80536
10.543,18.95142,10.543,21.38,10.543,24.20076,10.543,21.78889,10.543,10.67857
10.703,19.20648,10.703,21.562,10.703,24.18371,10.703,21.67222,10.703,10.81607
10.863,19.24291,10.863,21.608,10.863,24.3125,10.863,21.69444,10.863,10.92321
11.022,19.13765,11.022,21.554,11.022,24.29356,11.022,21.73704,11.022,10.73214
11.182,19.51012,11.182,21.496,11.182,24.27652,11.182,21.68889,11.182,10.89107
11.342,19.36032,11.342,22.01,11.342,24.40909,11.342,21.47963,11.342,10.92679
11.502,19.38461,11.502,21.394,11.502,24.25379,11.502,21.97222,11.502,10.91964
11.661,19.4413,11.661,21.548,11.661,24.05871,11.661,21.58333,11.661,10.83214
11.821,19.26721,11.821,21.48,11.821,24.4053,11.821,21.49444,11.821,11.00536
11.981,19.26316,11.981,21.496,11.981,24.36364,11.981,21.56111,11.981,10.87143
12.141,19.35628,12.141,21.504,12.141,24.27652,12.141,21.68889,12.141,10.99821
12.3,19.31174,12.3,21.412,12.3,24.16098,12.3,21.71111,12.3,10.8375
12.46,19.20648,12.46,21.458,12.46,24.27273,12.46,21.6037,12.46,10.83393
12.62,19.10931,12.62,21.638,12.62,24.42045,12.62,21.59444,12.62,10.87321
12.78,19.21457,12.78,21.438,12.78,24.16098,12.78,21.66111,12.78,11.09107
12.939,19.18624,12.939,21.538,12.939,24.21212,12.939,21.44259,12.939,10.93393
13.099,19.07287,13.099,21.5,13.099,24.19697,13.099,21.61667,13.099,10.95714
13.259,19.21053,13.259,21.422,13.259,24.33712,13.259,21.44444,13.259,10.94821
13.418,19.38057,13.418,21.486,13.418,23.99432,13.418,21.60926,13.418,10.86429
13.578,19.18219,13.578,21.584,13.578,24.06061,13.578,21.50741,13.578,11.04464
13.738,19.17409,13.738,21.434,13.738,24.10606,13.738,21.55556,13.738,10.9125
13.898,19.17409,13.898,21.382,13.898,24.13447,13.898,21.71296,13.898,10.97143
14.057,19.28745,14.057,21.518,14.057,24.34659,14.057,21.47593,14.057,11.02143
14.217,19.06073,14.217,21.532,14.217,24.25947,14.217,21.71296,14.217,10.92679
14.377,19.09717,14.377,21.508,14.377,24.12879,14.377,21.60926,14.377,10.99821
14.537,19.12551,14.537,21.638,14.537,24.23106,14.537,21.57963,14.537,10.96964
14.696,19.06883,14.696,21.528,14.696,24.29735,14.696,21.53148,14.696,10.91071
14.856,19.10526,14.856,21.498,14.856,24.15152,14.856,21.56667,14.856,10.875
15.016,19.14575,15.016,21.486,15.016,24.07386,15.016,21.37593,15.016,11.01786
15.176,19.30364,15.176,21.446,15.176,24.02841,15.176,21.5537,15.176,10.89107
15.335,18.94332,15.335,21.524,15.335,24.17045,15.335,21.40185,15.335,10.93036
15.495,19.20243,15.495,21.494,15.495,24.09848,15.495,21.47778,15.495,10.97143
15.655,19.27935,15.655,21.418,15.655,24.00947,15.655,21.44259,15.655,10.77143
15.815,19.10931,15.815,21.312,15.815,24.01136,15.815,21.72593,15.815,10.91607
15.974,19.19433,15.974,21.448,15.974,24.08712,15.974,21.57037,15.974,10.95714
16.134,19.05263,16.134,21.44,16.134,23.88068,16.134,21.46482,16.134,10.90357
16.294,19.02429,16.294,21.698,16.294,24.26136,16.294,21.62037,16.294,10.74286
16.454,19.16599,16.454,21.408,16.454,24.25189,16.454,21.37593,16.454,10.84821
16.613,19.32389,16.613,21.704,16.613,24.25379,16.613,21.80926,16.613,10.95179
16.773,18.96356,16.773,21.622,16.773,24.2178,16.773,21.42407,16.773,10.88214
16.933,19.04049,16.933,21.576,16.933,24.3428,16.933,21.42593,16.933,10.96607
17.093,19.25101,17.093,21.57,17.093,24.04356,17.093,21.63333,17.093,10.91071
17.252,19.10122,17.252,21.82,17.252,24.15152,17.252,21.52222,17.252,10.98571
17.412,19.04453,17.412,21.336,17.412,23.99811,17.412,21.56482,17.412,10.7875
17.572,19.22267,17.572,21.426,17.572,24.07576,17.572,21.67037,17.572,10.8
17.732,19.34413,17.732,21.554,17.732,24.11553,17.732,21.48889,17.732,10.75357
17.891,19.19838,17.891,21.324,17.891,24.19886,17.891,21.46111,17.891,10.93571
18.051,19.05668,18.051,21.548,18.051,23.91667,18.051,21.45926,18.051,10.84286
18.211,19.2834,18.211,21.63,18.211,24.13068,18.211,21.3963,18.211,10.80893
18.371,18.95951,18.371,21.496,18.371,23.83712,18.371,21.46667,18.371,10.80536
18.53,19.2834,18.53,21.43,18.53,23.95455,18.53,21.44444,18.53,10.96071
18.69,19.04858,18.69,21.49,18.69,24.05303,18.69,21.43889,18.69,10.93214
