X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
47.278,12926.489,47.278,5702.38,47.278,5743.87,47.278,9666.305,47.278,7975.934,47.278,9684.631,47.278,7228.317
48.224,13054.97,48.224,5742.902,48.224,6025.763,48.224,9553.814,48.224,8074.132,48.224,9773.393,48.224,7183.685
49.169,12873.51,49.169,5715.277,49.169,5791.469,49.169,9687.83,49.169,7687.497,49.169,9602,49.169,7219.417
50.115,12772.032,50.115,5816.042,50.115,5822.75,50.115,9581.345,50.115,8123.331,50.115,9645.313,50.115,7197.225
51.06,12688.229,51.06,5776.58,51.06,5925.236,51.06,9546.809,51.06,7785.203,51.06,9804.031,51.06,7340.492
52.006,12965.051,52.006,5732.235,52.006,6022.711,52.006,9480.188,52.006,8048.646,52.006,9937.872,52.006,7212.028
52.951,12760.848,52.951,5705.449,52.951,5923.881,52.951,9695.024,52.951,7797.272,52.951,9688.156,52.952,7196.787
53.897,12792.195,53.897,5746.404,53.897,6007.513,53.897,9684.771,53.897,8202.313,53.897,9691.978,53.897,7182.603
54.843,12943.433,54.843,5721.613,54.843,5948.521,54.843,9519.102,54.843,7795.791,54.843,9836.901,54.843,7150.845
55.788,12767.466,55.788,5690.043,55.788,6020.176,55.788,9666.016,55.788,7962.158,55.788,9668.088,55.788,7201.939
56.734,13010.077,56.734,5628.374,56.734,5968.582,56.734,9633.464,56.734,7879.319,56.734,9612.835,56.734,7162.822
57.679,12776.026,57.679,5657.557,57.679,6198.981,57.679,9599.737,57.679,8049.69,57.679,9600.195,57.679,7117.33
58.625,12853.842,58.625,5750.573,58.625,5970.44,58.625,9367.833,58.625,8062.283,58.625,9571.854,58.625,7084.417
59.57,12811.527,59.57,5710.297,59.57,5859.604,59.57,9626.395,59.57,7966.226,59.57,9628.736,59.57,7069.64
60.516,12940.508,60.516,5719.4,60.516,6095.789,60.516,9469.985,60.516,8094.188,60.516,9588.543,60.516,7023.347
61.462,12560.718,61.462,5689.599,61.462,5989.473,61.462,9696.812,61.462,8098.507,61.462,9583.018,61.462,7172.1
62.407,12715.228,62.407,5726.623,62.407,5975.134,62.407,9574.055,62.407,7856.309,62.407,9529.055,62.407,7083.682
63.353,12736.553,63.353,5753.797,63.353,5944.36,63.353,9497.298,63.353,7876.517,63.353,9529.997,63.353,7060.611
64.298,12731.319,64.298,5682.887,64.298,6078.619,64.298,9532.874,64.298,8225.432,64.298,9567.101,64.298,7088.841
65.244,12822.695,65.244,5742.06,65.244,6112.958,65.244,9388.952,65.244,8032.369,65.244,9576.492,65.244,7066.868
66.189,12749.418,66.189,5725.988,66.189,6102.997,66.189,9587.616,66.189,8139.456,66.189,9598.32,66.189,7075.849
67.135,12797.579,67.135,5701.061,67.135,6072.149,67.135,9476.415,67.135,8219.026,67.135,9578.112,67.135,7067.893
68.08,13037.692,68.08,5660.22,68.08,6149.868,68.08,9485.804,68.08,8248.363,68.08,9535.726,68.081,7000.266
69.026,12823.584,69.026,5719.487,69.026,5886.018,69.026,9511.514,69.026,7802.786,69.026,9480.724,69.026,7004.832
69.972,12670.173,69.972,5675.636,69.972,6135.621,69.972,9353.487,69.972,8091.887,69.972,9577.915,69.972,7031.714
70.917,12649.246,70.917,5625.463,70.917,6232.759,70.917,9441.662,70.917,8029.906,70.917,9444.604,70.917,7069.923
71.863,12734.137,71.863,5665.502,71.863,6332.828,71.863,9276.015,71.863,8137.349,71.863,9563.832,71.863,6974.919
72.808,12864.441,72.808,5730.57,72.808,6345.471,72.808,9350.484,72.808,7946.759,72.808,9513.024,72.808,7095.9
73.754,12874.67,73.754,5644.914,73.754,6097.506,73.754,9528.665,73.754,7954.568,73.754,9468.981,73.754,6988.458
74.699,12587.05,74.699,5667.806,74.699,6217.943,74.699,9450.56,74.699,8176.402,74.699,9477.7,74.699,7066.822
75.645,12512.324,75.645,5724.543,75.645,6216.646,75.645,9448.66,75.645,8098.496,75.645,9481.347,75.645,7021.14
76.59,12906.057,76.59,5663.658,76.59,6290.73,76.59,9306.271,76.59,7903.025,76.59,9384.237,76.591,7100.392
77.536,12628.169,77.536,5565.213,77.536,6355.848,77.536,9318.888,77.536,8018.98,77.536,9342.606,77.536,7073.974
78.482,12610.184,78.482,5733.512,78.482,6217.604,78.482,9419.474,78.482,8213.283,78.482,9412.385,78.482,7071.422
79.427,12636.358,79.427,5240.543,79.427,6307.184,79.427,9421.984,79.427,8131.273,79.427,9465.274,79.427,7058.627
80.373,12726.085,80.373,5727.953,80.373,6243.055,80.373,9242.257,80.373,8196.043,80.373,9407.033,80.373,6922.845
81.318,12564.372,81.318,5919.719,81.318,6106.542,81.318,9413.097,81.318,7855.903,81.318,9354.072,81.318,7007.377
82.264,12503.723,82.264,5960.439,82.264,6073.322,82.264,9375.675,82.264,8085.607,82.264,9368.362,82.264,7060.856
83.209,12618.93,83.209,6107.078,83.209,6343.843,83.209,9229.487,83.209,8059.905,83.209,9407.24,83.21,7089.762
