,condition,passive
0,ctrl_cl,6.63608846058809
1,ctrl_cl,19.048060291574007
2,ctrl_cl,71.23247483169662
3,ctrl_cl,76.57060785767236
4,ctrl_cl,26.763325304181336
5,ctrl_cl,78.59150145142362
6,ctrl_cl,69.26070038910505
7,ctrl_cl,15.235050654806026
8,clado_cl,80.8893829905503
9,clado_cl,79.1558561897702
10,clado_cl,41.12701500833796
11,clado_cl,62.3712008895478
12,clado_cl,56.66064480266814
13,clado_cl,83.24902723735407
14,clado_cl,89.51361867704281
15,clado_cl,48.023072646404735
16,ol,59.56341116876699
17,ol,62.67837286879171
18,ol,88.61944907664751
19,ol,98.5737892265876
20,ol,70.7445494410475
21,ol,98.7137916126243
22,ol,98.8759187202767
23,ol,48.349085742525325
24,clado_ol,96.43706380087703
25,clado_ol,99.45870397825549
26,clado_ol,95.53687233648324
27,clado_ol,93.05272424017792
28,clado_ol,85.14220863442654
29,clado_ol,98.53081959113088
30,clado_ol,99.54063986165154
31,clado_ol,96.97692735359526
