,condition,passive
0,control,0.633030584
1,control,0.537395737
2,control,0.911084337
3,control,0.905069509
4,control,0.964418087
5,control,0.37834507
7,ketamine,0.51823911
8,ketamine,0.074596849
9,ketamine,0.011126552
10,ketamine,0.325296516
11,ketamine,0.461805041
