X,Y
0.000,5405.146
0.946,5492.278
1.891,5455.599
2.837,5408.874
3.782,5441.888
4.728,5456.687
5.673,5348.146
6.619,5470.138
7.564,5467.908
8.510,5505.316
9.456,5544.315
10.401,5493.070
11.347,5478.089
12.292,5481.074
13.238,5435.241
14.183,5471.963
15.129,5518.967
16.075,5456.411
17.020,5479.872
17.966,5519.891
18.911,5460.166
19.857,5470.083
20.802,5503.438
21.748,5493.678
22.693,5465.626
23.639,5459.120
24.585,5522.199
25.530,5501.077
26.476,5530.131
27.421,5516.219
28.367,5548.644
29.312,5569.148
30.258,5475.706
31.204,5507.688
32.149,5513.313
33.095,5507.154
34.040,5495.376
34.986,5485.415
35.931,5485.763
36.877,5496.075
37.822,5510.048
38.768,5483.492
39.714,5550.731
40.659,5498.758
41.605,5555.308
42.550,5497.562
43.496,5542.285
44.441,5497.147
45.387,5525.745
46.333,5505.921
47.278,5542.547
48.224,5516.785
49.169,5493.524
50.115,5519.289
51.060,5504.424
52.006,5513.399
52.951,5495.880
53.897,5549.723
54.843,5564.099
55.788,5492.252
56.734,5522.536
57.679,5509.136
58.625,5522.394
59.570,5502.365
60.516,5549.001
61.462,5494.174
62.407,5564.777
63.353,5525.349
64.298,5551.251
65.244,5530.158
66.189,5540.353
67.135,5558.771
68.080,5528.941
69.026,5537.824
69.972,5550.050
70.917,5523.675
71.863,5536.021
72.808,5567.479
73.754,5575.069
74.699,5543.672
75.645,5580.057
76.590,5594.962
77.536,5542.918
78.482,5558.506
79.427,5545.828
80.373,5572.191
81.318,5553.076
82.264,5541.423
83.209,5562.279
84.155,5548.054
85.101,5556.281
86.046,5597.435
86.992,5579.226
87.937,5507.383
88.883,5574.412
89.828,5577.525
90.774,5535.766
91.719,5574.347
92.665,5520.432
93.611,5588.089
94.556,5572.069
95.502,5577.215
96.447,5568.602
97.393,5559.334
98.338,5559.522
99.284,5581.729
100.230,5618.434
101.175,5587.955
102.121,5619.628
103.066,5569.815
104.012,5627.503
104.957,5585.833
105.903,5611.999
106.848,5624.542
107.794,5605.150
108.740,5604.480
109.685,5621.835
110.631,5596.689
111.576,5600.206
112.522,5621.072
113.467,5628.328
114.413,5611.622
115.359,5566.211
116.304,5610.778
117.250,5668.141
118.195,5589.372
119.141,5632.834
120.086,5594.287
121.032,5631.171
121.977,5655.628
122.923,5635.968
123.869,5623.323
124.814,5606.003
125.760,5623.698
126.705,5563.030
127.651,5620.966
128.596,5627.306
129.542,5643.939
130.488,5624.605
131.433,5636.363
132.379,5600.263
133.324,5655.753
134.270,5616.082
135.215,5598.115
136.161,5624.651
137.106,5612.953
138.052,5627.649
138.998,5621.624
139.943,5610.926
140.889,5634.663
141.834,5666.338
142.780,5600.723
143.725,5660.534
144.671,5629.997
145.616,5623.693
146.562,5597.249
147.508,5643.327
148.453,5638.140
149.399,5658.454
150.344,5589.445
151.290,5622.319
152.235,5635.759
153.181,5613.815
154.127,5607.838
155.072,5622.479
156.018,5629.741
156.963,5646.659
157.909,5644.252
158.854,5652.416
159.800,5644.411
160.745,5668.964
161.691,5615.857
162.637,5597.121
163.582,5592.703
164.528,5615.685
165.473,5639.113
166.419,5610.564
167.364,5653.111
168.310,5612.423
169.256,5612.675
170.201,5634.363
171.147,5606.201
172.092,5667.222
173.038,5602.163
173.983,5644.562
174.929,5608.541
175.874,5610.895
176.820,5595.410
177.766,5583.570
178.711,5649.257
179.657,5617.113
180.602,5617.802
181.548,5581.756
182.493,5646.793
183.439,5579.513
184.385,5632.521
185.330,5618.930
186.276,5615.530
187.221,5625.289
188.167,5614.550
189.112,5601.941
190.058,5630.594
191.003,5639.178
191.949,5619.093
192.895,5638.254
193.840,5634.997
194.786,5658.989
195.731,5616.283
196.677,5595.562
197.622,5642.615
198.568,5661.713
199.513,5656.983
200.459,5614.838
201.405,5617.468
202.350,5626.098
203.296,5616.244
204.241,5599.700
205.187,5632.646
206.132,5588.156
207.078,5632.360
208.024,5606.500
208.969,5647.176
209.915,5637.960
210.860,5645.569
211.806,5578.549
212.751,5582.415
213.697,5599.370
214.642,5594.647
215.588,5588.407
216.534,5585.902
217.479,5591.762
218.425,5580.381
219.370,5607.590
220.316,5620.816
221.261,5586.174
222.207,5578.062
223.153,5663.154
224.098,5581.463
225.044,5608.818
225.989,5578.598
226.935,5584.747
227.880,5644.913
228.826,5607.671
229.771,5614.521
230.717,5602.036
231.663,5617.689
232.608,5632.118
233.554,5579.471
234.499,5591.283
235.445,5593.686
236.390,5573.952
237.336,5574.163
238.282,5586.343
239.227,5553.353
240.173,5590.487
241.118,5584.684
242.064,5551.112
243.009,5569.184
243.955,5555.341
244.900,5583.557
245.846,5570.647
246.792,5559.216
247.737,5560.202
248.683,5573.543
249.628,5603.200
250.574,5558.955
251.519,5560.229
252.465,5571.475
253.411,5574.365
254.356,5583.169
255.302,5580.388
256.247,5595.251
257.193,5550.323
258.138,5575.370
259.084,5575.822
260.029,5616.641
260.975,5590.714
261.921,5602.517
262.866,5565.334
263.812,5576.476
264.757,5555.768
265.703,5595.092
266.648,5520.556
267.594,5501.321
268.539,5572.413
269.485,5569.584
270.431,5565.014
271.376,5540.758
272.322,5556.140
273.267,5555.514
274.213,5533.628
275.158,5517.379
276.104,5574.977
277.050,5505.723
277.995,5575.313
278.941,5499.845
279.886,5522.853
280.832,5516.498
281.777,5557.720
282.723,5571.699
283.668,5599.752
284.614,5500.999
285.560,5533.456
286.505,5550.452
287.451,5588.685
288.396,5501.865
289.342,5569.838
290.287,5487.571
291.233,5502.319
292.179,5554.388
293.124,5485.252
294.070,5540.331
295.015,5491.750
295.961,5532.783
296.906,5552.920
297.852,5528.603
298.797,5636.853
299.743,5577.117
300.689,5529.098
301.634,5565.714
302.580,5558.359
303.525,5521.671
304.471,5560.679
305.416,5518.645
306.362,5538.098
307.308,5523.163
308.253,5487.642
309.199,5528.433
310.144,5507.412
311.090,5507.151
312.035,5521.703
312.981,5506.735
313.926,5545.776
314.872,5481.552
315.818,5517.092
316.763,5477.667
317.709,5505.442
318.654,5491.100
319.600,5492.381
320.545,5486.367
321.491,5485.696
322.436,5509.357
323.382,5477.040
324.328,5533.598
325.273,5472.618
326.219,5482.862
327.164,5498.222
328.110,5468.127
329.055,5503.177
330.001,5491.094
330.947,5442.074
331.892,5434.832
332.838,5495.109
333.783,5470.703
334.729,5429.621
335.674,5498.065
336.620,5497.989
337.565,5468.083
338.511,5460.316
339.457,5462.077
340.402,5422.507
341.348,5457.665
342.293,5426.483
343.239,5447.394
344.184,5416.448
345.130,5440.576
346.076,5440.243
347.021,5417.552
347.967,5456.901
348.912,5421.105
349.858,5444.434
350.803,5396.852
351.749,5435.541
352.694,5418.229
353.640,5391.324
354.586,5419.126
355.531,5429.485
356.477,5402.585
357.422,5460.852
358.368,5433.967
359.313,5413.499
360.259,5396.482
361.205,5417.390
362.150,5391.845
363.096,5405.412
