X,Y
0.000,15031.954
1.891,15122.526
3.782,14804.964
5.673,14897.850
7.565,14796.055
9.456,14900.782
11.347,14841.747
13.238,14768.776
15.129,14779.358
17.020,14732.878
18.911,14574.634
20.802,14479.398
22.694,14643.375
24.585,14613.059
26.476,14515.837
28.367,14438.280
30.258,14483.998
32.149,14344.835
34.040,14417.958
35.931,14513.354
37.823,14772.300
39.714,14286.667
41.605,14182.013
43.496,14022.962
45.387,14052.242
47.278,14115.209
49.169,14095.109
51.060,14039.866
52.952,13977.837
54.843,13922.352
56.734,13845.125
58.625,13956.334
60.516,13625.547
62.407,13714.618
64.298,13780.343
66.189,13610.682
68.081,13620.726
69.972,13361.853
71.863,13342.968
73.754,13343.212
75.645,13330.625
77.536,13315.343
79.427,13287.922
81.318,13461.955
83.210,13205.015
85.101,13272.783
86.992,13312.801
88.883,13343.598
90.774,13240.396
92.665,13273.060
94.556,13238.248
96.447,13120.037
98.339,13228.678
100.230,13292.655
102.121,13168.151
104.012,13170.152
105.903,13194.156
107.794,13274.595
109.685,13179.634
111.576,13351.252
113.468,13074.337
115.359,13336.768
117.250,13047.696
119.141,12927.745
121.032,13263.753
122.923,13227.722
124.814,15141.178
126.705,15017.463
128.597,14827.378
130.488,14741.742
132.379,14393.932
134.270,14199.027
136.161,14372.134
138.052,14339.299
139.943,14077.320
141.834,14097.136
143.726,14081.115
145.617,13840.427
147.508,13634.532
149.399,13805.664
151.290,13453.214
153.181,13438.216
155.072,13494.056
156.963,13319.785
158.855,13155.729
160.746,13301.163
162.637,13072.175
164.528,13199.906
166.419,12935.855
168.310,12907.244
170.201,12890.467
172.092,12926.666
173.984,12673.971
175.875,12757.843
177.766,12868.688
179.657,12525.141
181.548,12542.817
183.439,12525.657
185.330,12617.633
187.221,12621.942
189.113,12589.574
191.004,12526.457
192.895,12435.796
194.786,12228.044
196.677,12361.427
198.568,12326.893
200.459,12356.345
202.350,12405.721
204.242,12334.813
206.133,12185.107
208.024,12154.769
209.915,12173.273
211.806,12241.499
213.697,12416.766
215.588,12321.426
217.479,12164.704
219.371,12291.006
221.262,12280.090
223.153,12367.835
225.044,12348.380
