[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean
10.064,7.01215,10.064,6.494,10.064,7.61364,10.064,16.78333,10.064,5.90893
10.224,6.98381,10.224,6.476,10.224,7.62311,10.224,16.57778,10.224,5.96071
10.383,6.95142,10.383,6.46,10.383,7.37879,10.383,16.68333,10.383,5.89286
10.543,7.07287,10.543,6.414,10.543,7.61174,10.543,16.63333,10.543,5.85357
10.703,6.97571,10.703,6.486,10.703,7.48864,10.703,16.63333,10.703,5.90893
10.863,6.91903,10.863,6.446,10.863,7.58902,10.863,16.58889,10.863,5.87679
11.022,6.94332,11.022,6.512,11.022,7.53409,11.022,16.47593,11.022,5.86429
11.182,6.9919,11.182,6.44,11.182,7.44318,11.182,16.59444,11.182,5.79107
11.342,6.97571,11.342,6.464,11.342,7.60985,11.342,16.79815,11.342,5.87679
11.502,6.90688,11.502,6.49,11.502,7.56818,11.502,16.57037,11.502,5.93571
11.661,6.68826,11.661,6.538,11.661,7.54545,11.661,16.63333,11.661,5.80714
11.821,7.10121,11.821,6.536,11.821,7.51326,11.821,16.52778,11.821,5.86429
11.981,6.79757,11.981,6.364,11.981,7.44697,11.981,16.69074,11.981,5.80714
12.141,6.87854,12.141,6.412,12.141,7.5625,12.141,16.53518,12.141,5.8875
12.3,7.02834,12.3,6.394,12.3,7.62879,12.3,16.71667,12.3,5.95357
12.46,6.88664,12.46,6.494,12.46,7.58333,12.46,16.54815,12.46,5.89821
12.62,6.87449,12.62,6.49,12.62,7.53598,12.62,16.63333,12.62,5.74643
12.78,6.92713,12.78,6.394,12.78,7.56629,12.78,16.57037,12.78,5.8
12.939,7.02429,12.939,6.552,12.939,7.49621,12.939,16.69444,12.939,5.87679
13.099,6.92308,13.099,6.452,13.099,7.55682,13.099,16.44259,13.099,5.89643
13.259,6.97571,13.259,6.58,13.259,7.57197,13.259,16.58148,13.259,5.87679
13.418,6.8583,13.418,6.468,13.418,7.4697,13.418,16.34074,13.418,5.89464
13.578,6.96356,13.578,6.552,13.578,7.57765,13.578,16.55556,13.578,5.82679
13.738,6.96356,13.738,6.588,13.738,7.42045,13.738,16.64444,13.738,5.90179
13.898,6.95547,13.898,6.438,13.898,7.63826,13.898,16.6963,13.898,5.93036
14.057,7.0081,14.057,6.49,14.057,7.66856,14.057,16.52778,14.057,5.91071
14.217,7,14.217,6.418,14.217,7.49811,14.217,16.75185,14.217,5.9
14.377,6.85425,14.377,6.574,14.377,7.51136,14.377,16.46296,14.377,5.78036
14.537,6.79757,14.537,6.392,14.537,7.5947,14.537,16.53518,14.537,5.81607
14.696,7.01215,14.696,6.524,14.696,7.59091,14.696,16.8037,14.696,5.92679
14.856,6.97166,14.856,6.572,14.856,7.5,14.856,16.51111,14.856,5.91429
15.016,6.92713,15.016,6.468,15.016,7.49053,15.016,16.64444,15.016,5.81429
15.176,7.03644,15.176,6.394,15.176,7.52273,15.176,16.7537,15.176,5.775
15.335,6.83806,15.335,6.526,15.335,7.44886,15.335,16.56667,15.335,5.83929
15.495,6.93522,15.495,6.428,15.495,7.46023,15.495,16.62222,15.495,5.81607
15.655,6.93522,15.655,6.542,15.655,7.50189,15.655,16.64259,15.655,5.84821
15.815,6.91903,15.815,6.474,15.815,7.5947,15.815,16.67963,15.815,5.76607
15.974,6.89879,15.974,6.532,15.974,7.44129,15.974,16.51111,15.974,5.84286
16.134,6.89879,16.134,6.384,16.134,7.49053,16.134,16.51852,16.134,5.77143
16.294,6.80162,16.294,6.464,16.294,7.45265,16.294,16.61667,16.294,5.78393
16.454,7.02834,16.454,6.516,16.454,7.50947,16.454,16.63148,16.454,5.77679
16.613,6.93117,16.613,6.55,16.613,7.5,16.613,16.65,16.613,5.95357
16.773,6.99595,16.773,6.486,16.773,7.39583,16.773,16.57037,16.773,5.77857
16.933,6.82996,16.933,6.452,16.933,7.46023,16.933,16.64259,16.933,5.925
17.093,6.82996,17.093,6.29,17.093,7.38258,17.093,16.57963,17.093,5.85893
17.252,6.90688,17.252,6.508,17.252,7.53598,17.252,16.67407,17.252,5.81964
17.412,7,17.412,6.484,17.412,7.57386,17.412,16.5963,17.412,5.88393
17.572,6.93117,17.572,6.364,17.572,7.47917,17.572,16.46111,17.572,5.875
17.732,6.96356,17.732,6.526,17.732,7.37311,17.732,16.60556,17.732,5.78214
17.891,6.78138,17.891,6.51,17.891,7.58333,17.891,16.61296,17.891,5.8375
18.051,6.84211,18.051,6.542,18.051,7.39583,18.051,16.69259,18.051,5.8125
18.211,7.2834,18.211,6.538,18.211,7.45076,18.211,16.66296,18.211,5.91607
18.371,7,18.371,6.532,18.371,7.48295,18.371,16.75185,18.371,5.89107
18.53,6.98381,18.53,6.438,18.53,7.50379,18.53,16.65185,18.53,5.94464
18.69,6.96356,18.69,6.49,18.69,7.38068,18.69,16.64815,18.69,5.79107
18.85,7,18.85,6.468,18.85,7.40341,18.85,16.60926,18.85,5.79643
19.01,7.00405,19.01,6.358,19.01,7.54167,19.01,16.64815,19.01,5.78214
19.169,6.89474,19.169,6.428,19.169,7.49811,19.169,16.71667,19.169,5.84643
19.329,6.98785,19.329,6.514,19.329,7.39205,19.329,16.64074,19.329,5.8
19.489,7.03239,19.489,6.512,19.489,7.49811,19.489,16.52222,19.489,5.7
19.649,6.75708,19.648,6.6,19.648,7.48106,19.648,16.53518,19.648,5.90179
19.808,6.98785,19.808,6.584,19.808,7.32008,19.808,16.71111,19.808,5.72679
19.968,6.83401,19.968,6.488,19.968,7.54167,19.968,16.68704,19.968,5.75357
20.128,6.89879,20.128,6.438,20.128,7.38068,20.128,16.59074,20.128,5.925
20.287,6.82186,20.287,6.408,20.287,7.46023,20.287,16.69815,20.287,5.83036
20.447,6.82186,20.447,6.32,20.447,7.38258,20.447,16.63148,20.447,5.90714
20.607,6.91093,20.607,6.418,20.607,7.50758,20.607,16.58148,20.607,5.85179
20.767,6.94332,20.767,6.47,20.767,7.35417,20.767,16.54259,20.767,5.79643
20.926,7.11336,20.926,6.468,20.926,7.38447,20.926,16.50926,20.926,5.88929
21.086,6.95142,21.086,6.44,21.086,7.52462,21.086,16.70185,21.086,5.80714
21.246,6.97166,21.246,6.396,21.246,7.47727,21.246,16.63704,21.246,5.86607
21.406,7.04858,21.406,6.52,21.406,7.54735,21.406,16.66111,21.406,5.87679
21.565,6.8664,21.565,6.492,21.565,7.42614,21.565,16.71296,21.565,5.82857
21.725,6.93927,21.725,6.534,21.725,7.4678,21.725,16.61481,21.725,5.73929
21.885,6.87045,21.885,6.422,21.885,7.31629,21.885,16.58519,21.885,5.86786
22.045,6.80162,22.045,6.512,22.045,7.37311,22.045,16.59444,22.045,5.72143
22.204,7,22.204,6.524,22.204,7.46402,22.204,16.59259,22.204,5.76607
22.364,6.84615,22.364,6.482,22.364,7.45455,22.364,16.46667,22.364,5.76964
22.524,6.97166,22.524,6.534,22.524,7.37311,22.524,16.55185,22.524,5.88929
22.684,6.96356,22.684,6.462,22.684,7.39962,22.684,16.52593,22.684,5.77321
22.843,6.8502,22.843,6.482,22.843,7.45644,22.843,16.63704,22.843,5.82857
23.003,7.06883,23.003,6.5,23.003,7.45265,23.003,16.66852,23.003,5.71071
23.163,6.80162,23.163,6.43,23.163,7.32386,23.163,16.62778,23.163,5.90893
23.323,6.89474,23.323,6.452,23.323,7.24621,23.323,16.51296,23.323,5.79286
23.482,6.87045,23.482,6.36,23.482,7.35227,23.482,16.57037,23.482,5.7875
23.642,6.97571,23.642,6.42,23.642,7.48864,23.642,16.70185,23.642,5.82857
23.802,7.03644,23.802,6.486,23.802,7.42235,23.802,16.8037,23.802,5.74643
23.962,6.89069,23.962,6.482,23.962,7.45455,23.962,16.53148,23.962,5.83929
24.121,6.80567,24.121,6.4,24.121,7.34659,24.121,16.70185,24.121,5.8125
24.281,6.7085,24.281,6.482,24.281,7.50947,24.281,16.58889,24.281,5.70357
24.441,6.77733,24.441,6.502,24.441,7.27841,24.441,16.67407,24.441,5.7375
24.601,6.97976,24.601,6.338,24.601,7.35417,24.601,16.57778,24.601,5.86071
24.76,6.91093,24.76,6.446,24.76,7.29924,24.76,16.55741,24.76,5.81607
24.92,7.02024,24.92,6.558,24.92,7.46023,24.92,16.67778,24.92,5.84643
25.08,7.02429,25.08,6.572,25.08,7.32955,25.08,16.38889,25.08,5.70357
25.24,7.06073,25.24,6.512,25.24,7.30492,25.24,16.66667,25.24,5.72679
25.399,6.96356,25.399,6.456,25.399,7.32576,25.399,16.53148,25.399,5.75893
25.559,7.04453,25.559,6.368,25.559,7.48864,25.559,16.51111,25.559,5.76964
25.719,6.87449,25.719,6.532,25.719,7.29545,25.719,16.66667,25.719,5.81071
25.879,6.8664,25.879,6.404,25.879,7.31629,25.879,16.60926,25.879,5.82857
26.038,7.08502,26.038,6.514,26.038,7.32386,26.038,16.58889,26.038,5.66607
26.198,6.88259,26.198,6.512,26.198,7.27273,26.198,16.64074,26.198,5.71071
26.358,6.87449,26.358,6.402,26.358,7.33902,26.358,16.58889,26.358,5.75893
26.518,7.05263,26.517,6.376,26.517,7.3125,26.517,16.55556,26.517,5.79643
26.677,6.99595,26.677,6.44,26.677,7.22727,26.677,16.56482,26.677,5.72857
26.837,6.99595,26.837,6.43,26.837,7.39015,26.837,16.65,26.837,5.77143
26.997,7.11336,26.997,6.444,26.997,7.20265,26.997,16.50741,26.997,5.80714
27.156,6.96761,27.156,6.41,27.156,7.33523,27.156,16.52407,27.156,5.75536
27.316,7.02834,27.316,6.396,27.316,7.29545,27.316,16.53333,27.316,5.84464
27.476,7.09312,27.476,6.492,27.476,7.29735,27.476,16.55556,27.476,5.76071
27.636,7.05668,27.636,6.518,27.636,7.40341,27.636,16.39444,27.636,5.83929
27.795,6.8664,27.795,6.362,27.795,7.46023,27.795,16.70555,27.795,5.71071
27.955,7.02429,27.955,6.498,27.955,7.22538,27.955,16.57407,27.955,5.85357
28.115,6.94737,28.115,6.472,28.115,7.32008,28.115,16.66481,28.115,5.7125
28.275,6.91903,28.275,6.382,28.275,7.37879,28.275,16.57963,28.275,5.79464
28.434,7,28.434,6.476,28.434,7.35227,28.434,16.61111,28.434,5.66964
28.594,7.01215,28.594,6.35,28.594,7.29356,28.594,16.78148,28.594,5.75179
28.754,6.96761,28.754,6.54,28.754,7.30682,28.754,16.46482,28.754,5.75714
28.914,6.86235,28.914,6.488,28.914,7.49053,28.914,16.51296,28.914,5.77857
29.073,6.95547,29.073,6.374,29.073,7.24053,29.073,16.57222,29.073,5.80357
29.233,6.96761,29.233,6.566,29.233,7.33902,29.233,16.50556,29.233,5.83036
29.393,6.82591,29.393,6.336,29.393,7.26894,29.393,16.45741,29.393,5.91964
29.553,7.04858,29.553,6.504,29.553,7.26894,29.553,16.49815,29.553,5.85357
29.712,7.00405,29.712,6.426,29.712,7.37121,29.712,16.53889,29.712,5.80536
29.872,7.02024,29.872,6.616,29.872,7.40152,29.872,16.49259,29.872,5.75179
30.032,6.94737,30.032,6.546,30.032,7.27083,30.032,16.74259,30.032,5.8125
30.192,6.91093,30.192,6.48,30.192,7.36742,30.192,16.58704,30.192,5.83393
30.351,7.23077,30.351,6.44,30.351,7.29735,30.351,16.62778,30.351,5.79821
30.511,7.03644,30.511,6.488,30.511,7.32765,30.511,16.56482,30.511,5.79821
30.671,7,30.671,6.432,30.671,7.37311,30.671,16.65926,30.671,5.72857
30.831,7.04858,30.831,6.392,30.831,7.26326,30.831,16.47407,30.831,5.76607
30.99,7.07287,30.99,6.328,30.99,7.29356,30.99,16.6,30.99,5.79821
31.15,6.9919,31.15,6.516,31.15,7.39962,31.15,16.55,31.15,5.75893
31.31,7.00405,31.31,6.454,31.31,7.27083,31.31,16.57222,31.31,5.69821
31.47,6.94737,31.47,6.476,31.47,7.31439,31.47,16.7,31.47,5.81071
31.629,6.92308,31.629,6.43,31.629,7.30303,31.629,16.48148,31.629,5.80179
31.789,6.9919,31.789,6.392,31.789,7.23295,31.789,16.7,31.789,5.74821
31.949,7.05668,31.949,6.52,31.949,7.36174,31.949,16.68704,31.949,5.86429
32.109,7.08502,32.109,6.504,32.109,7.3428,32.109,16.58519,32.109,5.82143
32.268,6.95142,32.268,6.34,32.268,7.31629,32.268,16.50741,32.268,5.76071
32.428,6.90688,32.428,6.56,32.428,7.21402,32.428,16.5537,32.428,5.79107
32.588,7.04049,32.588,6.52,32.588,7.33333,32.588,16.60185,32.588,5.73571
32.748,7.04858,32.747,6.4,32.747,7.22538,32.747,16.60556,32.747,5.74643
32.907,7.04049,32.907,6.398,32.907,7.22538,32.907,16.72778,32.907,5.73929
33.067,6.89474,33.067,6.44,33.067,7.29735,33.067,16.53889,33.067,5.78571
33.227,6.93522,33.227,6.37,33.227,7.26894,33.227,16.47222,33.227,5.7625
33.386,6.8664,33.386,6.384,33.386,7.24432,33.386,16.61667,33.386,5.69821
33.546,7.06883,33.546,6.418,33.546,7.32197,33.546,16.56111,33.546,5.78571
33.706,6.95142,33.706,6.454,33.706,7.28977,33.706,16.45555,33.706,5.8125
33.866,7.03644,33.866,6.362,33.866,7.13258,33.866,16.69074,33.866,5.78214
34.025,7.06073,34.025,6.372,34.025,7.25189,34.025,16.5,34.025,5.7125
34.185,6.87045,34.185,6.496,34.185,7.10417,34.185,16.50185,34.185,5.88214
34.345,7.05668,34.345,6.466,34.345,7.20455,34.345,16.58148,34.345,5.63036
34.505,7.15789,34.505,6.436,34.505,7.30871,34.505,16.44444,34.505,5.85
34.664,7.04453,34.664,6.386,34.664,7.1572,34.664,16.65556,34.664,5.71786
34.824,6.97976,34.824,6.522,34.824,7.20833,34.824,16.57778,34.824,5.76964
34.984,6.9919,34.984,6.418,34.984,7.32576,34.984,16.58333,34.984,5.8
35.144,7.01619,35.144,6.48,35.144,7.16288,35.144,16.46852,35.144,5.6625
35.303,7.08097,35.303,6.46,35.303,7.33712,35.303,16.60185,35.303,5.74643
35.463,6.88259,35.463,6.352,35.463,7.20833,35.463,16.39259,35.463,5.8125
35.623,6.93117,35.623,6.528,35.623,7.2803,35.623,16.43333,35.623,5.7375
35.783,7.01215,35.783,6.358,35.783,7.22727,35.783,16.35,35.783,5.775
35.942,7.10121,35.942,6.434,35.942,7.15341,35.942,16.39815,35.942,5.775
36.102,7.06073,36.102,6.416,36.102,7.26515,36.102,16.62778,36.102,5.65
36.262,6.97571,36.262,6.458,36.262,7.20833,36.262,16.46296,36.262,5.65714
36.422,6.95951,36.422,6.254,36.422,7.17045,36.422,16.52593,36.422,5.85893
36.581,7.00405,36.581,6.422,36.581,7.22348,36.581,16.67222,36.581,5.75536
36.741,6.86235,36.741,6.428,36.741,7.22727,36.741,16.58519,36.741,5.69286
36.901,7.1498,36.901,6.458,36.901,7.30492,36.901,16.5,36.901,5.67679
37.061,6.9919,37.061,6.388,37.061,7.25189,37.061,16.53704,37.061,5.7375
37.22,7.01215,37.22,6.48,37.22,7.32197,37.22,16.65926,37.22,5.68929
