Slice,Mean
1,36.0260
2,36.4122
3,36.8048
4,35.5589
5,36.3256
6,36.1980
7,35.7224
8,35.9771
9,35.7675
10,35.6821
11,35.4738
12,35.2817
13,35.4663
14,35.3910
15,35.3841
16,35.1810
17,35.0672
18,35.3311
19,35.1313
20,34.4720
21,34.8731
22,34.9920
23,34.9749
24,34.7967
25,34.2739
26,34.7921
27,34.4443
28,34.8912
29,34.5857
30,34.5705
31,35.1344
32,34.3361
33,34.2015
34,34.2550
35,34.3416
36,34.0322
37,33.5885
38,33.9928
39,34.6494
40,34.6933
41,33.6721
42,34.2824
43,33.9749
44,33.8609
45,33.9793
46,34.0951
47,34.1498
48,34.0650
49,34.0870
50,34.5728
51,34.5445
52,33.8176
53,31.7399
54,33.3826
55,33.6122
56,34.1019
57,32.5187
58,32.8506
59,33.2671
60,32.9977
61,33.8126
62,34.1732
63,33.1849
64,33.3629
65,33.4055
66,33.0469
67,33.1061
68,32.7829
69,33.0519
70,33.6129
71,33.4615
72,33.1084
73,33.0350
74,33.2736
75,32.9976
76,32.7462
77,32.8362
78,33.2071
79,32.5858
80,32.7925
81,33.1888
82,32.8680
83,33.2784
84,33.2404
85,32.9186
86,32.6581
87,32.8430
88,33.0947
89,33.3101
90,33.5640
91,33.2951
92,33.0072
93,33.2169
94,32.9845
95,32.7280
96,32.7809
97,32.6249
98,33.0966
99,32.7500
100,32.8685
101,32.3658
102,32.4457
103,32.3667
104,32.4614
105,32.4472
106,32.6488
107,32.8077
108,32.0133
109,32.3399
110,32.1329
111,32.5710
112,32.4705
113,32.4966
114,32.8237
115,32.9844
116,32.7042
117,32.4208
118,32.7013
119,32.0690
120,31.7578
121,32.0319
122,32.6013
123,32.6496
124,32.6067
125,32.5877
126,32.4600
127,32.4962
128,32.7451
129,32.2279
130,32.6100
131,32.5529
132,32.3738
133,32.7804
134,31.9871
135,31.9122
136,32.6622
137,32.4062
138,32.1366
139,32.3081
140,32.2777
141,32.5105
142,32.3295
143,32.7012
144,32.7528
145,32.0631
146,32.1495
147,32.0646
148,31.3114
149,32.1111
150,32.5150
151,32.0799
152,31.9993
153,32.0167
154,32.3558
155,32.2081
156,31.8415
157,31.6151
158,32.3350
159,32.2816
160,31.9715
161,32.3166
162,32.1935
163,32.1568
164,32.1379
165,32.1917
166,31.5310
167,31.6997
168,31.6904
169,31.9384
170,32.3258
171,32.2396
172,31.6134
173,31.7759
174,32.0293
175,31.9553
176,32.3272
177,32.1450
178,32.3723
179,31.6059
180,32.1550
181,32.3148
182,32.3925
183,31.9472
184,32.4638
185,31.8466
186,32.8080
187,31.9100
188,32.1816
189,31.8039
190,32.1693
191,32.1559
192,32.3691
193,31.9328
194,31.8525
195,31.9959
196,31.4778
197,32.0076
198,31.7439
199,32.0583
200,31.9913
201,31.6528
202,31.8294
203,32.4129
204,32.3115
205,32.1144
206,31.7374
207,32.3962
208,32.2151
209,32.1166
210,31.6719
211,31.6895
212,31.6548
213,31.7188
214,31.7717
215,31.5887
216,32.0153
217,31.2132
218,31.3225
219,32.1214
220,31.4914
221,31.5884
222,31.0887
223,31.4996
224,32.0221
225,31.3767
226,31.3300
227,32.1677
228,31.6566
229,32.0414
230,31.9667
231,31.4016
232,31.8816
233,31.5756
234,31.8981
235,31.9519
236,32.1099
237,31.5042
238,31.4743
239,31.3733
240,31.3545
241,32.0228
242,31.2300
243,31.0138
244,31.3561
245,31.9322
246,31.4242
247,31.2718
248,31.1143
249,31.6175
250,31.1345
251,31.2680
252,31.5616
253,31.3830
254,31.5577
255,31.5729
256,31.9562
257,31.5979
258,30.9308
259,31.7364
260,31.4657
261,31.4938
262,31.0786
263,31.1079
264,30.7718
265,31.4644
266,30.9563
267,30.9417
268,31.4002
269,30.9315
270,30.6541
271,31.0589
272,30.7295
273,30.7994
274,30.4253
275,30.9178
276,30.6198
277,30.9509
278,31.1985
279,30.9825
280,30.5926
281,31.2767
282,30.9511
283,31.3837
284,31.3919
285,31.2533
286,31.0928
287,30.7881
288,31.5305
289,31.1579
290,30.8177
291,30.9043
292,31.1356
293,30.8844
294,31.0082
295,30.8979
296,30.7599
297,30.9049
298,31.3923
299,31.1920
300,31.2411
301,31.1844
302,31.0097
303,31.2223
304,30.7776
305,31.7527
306,31.2031
307,31.4143
308,31.0100
309,31.0652
310,31.0247
311,31.6260
312,32.2906
313,32.1978
314,31.5500
315,31.5280
316,31.4914
317,31.3629
318,31.3514
319,30.8376
320,31.9923
321,31.6581
322,31.3747
323,31.6353
324,33.6620
325,32.1425
326,31.7869
327,32.6518
328,32.7806
329,32.5164
330,32.3282
331,33.2127
332,32.8134
333,32.5720
334,32.6976
335,32.1738
336,32.3649
337,32.7616
338,32.6657
339,32.7371
340,33.1284
341,32.7391
342,32.3910
343,32.9006
344,33.1474
345,33.0067
346,33.2699
347,32.9789
348,32.7425
349,32.6986
350,33.1233
351,33.0178
352,32.6778
353,32.8059
354,32.8348
355,32.8572
356,33.0110
357,33.0140
358,33.5496
359,33.7918
360,33.8780
361,33.7457
362,34.3849
363,34.8222
364,34.7707
365,35.3282
366,35.6854
367,35.7325
368,35.5576
369,36.2912
370,36.4106
371,36.5847
372,37.9979
373,38.8355
374,39.1254
375,40.0352
376,39.8475
377,40.3611
378,41.1841
379,41.3243
380,41.9276
381,42.4269
382,42.2325
383,42.3779
384,42.7010
385,42.6740
386,42.7817
387,42.4194
388,42.2228
389,42.2885
390,41.9688
391,42.6617
392,41.6632
393,42.2995
394,41.8069
395,41.7420
396,41.3884
397,41.1106
398,41.3345
399,41.4037
400,41.3722
401,41.1143
402,40.7250
