Slice,Mean
1,106.5977
2,24.4204
3,23.8001
4,24.6140
5,24.0171
6,24.1881
7,23.9636
8,24.1898
9,23.8938
10,24.3297
11,23.8531
12,23.4920
13,23.7541
14,24.3538
15,24.3443
16,24.3321
17,24.1565
18,24.1933
19,24.3747
20,23.8258
21,24.0131
22,24.6732
23,23.8459
24,23.8859
25,24.5226
26,24.0024
27,24.2326
28,23.6256
29,24.0371
30,23.5902
31,23.6849
32,24.1206
33,23.5942
34,24.4831
35,23.9360
36,23.7673
37,24.2767
38,23.4361
39,23.3432
40,23.5781
41,23.7147
42,23.7485
43,23.2648
44,23.5115
45,23.7332
46,23.9446
47,23.5700
48,23.6705
49,23.5840
50,23.9563
51,23.3523
52,23.6515
53,23.4046
54,23.3342
55,23.6722
56,21.4487
57,21.6854
58,21.2247
59,21.0338
60,21.2922
61,22.3812
62,23.3478
63,23.3219
64,23.4838
65,22.9306
66,24.8005
67,23.3397
68,22.4607
69,22.7413
70,24.3607
71,23.2616
72,23.8429
73,23.3252
74,23.0303
75,23.8696
76,23.2668
77,23.0383
78,23.0546
79,23.6622
80,23.1098
81,22.6792
82,23.7479
83,23.6063
84,23.3625
85,23.5342
86,23.5493
87,23.7629
88,23.4355
89,23.2183
90,23.4537
91,22.9595
92,22.8597
93,23.2277
94,23.4638
95,23.1558
96,23.3941
97,22.9202
98,23.0316
99,23.2551
100,23.2411
101,23.3677
102,23.1412
103,23.3215
104,23.0954
105,22.7428
106,22.8527
107,23.1510
108,22.9305
109,22.8329
110,23.2547
111,23.1714
112,23.0912
113,23.2152
114,23.3200
115,22.9093
116,22.4795
117,22.4877
118,22.8097
119,22.8890
120,23.1140
121,22.3201
122,22.7669
123,22.8254
124,22.6003
125,22.9418
126,22.4096
127,22.0322
128,22.6206
129,22.9949
130,22.9395
131,22.5757
132,22.6817
133,22.9004
134,22.7891
135,22.8635
136,22.7614
137,22.7243
138,22.9881
139,22.3401
140,22.7589
141,22.4443
142,22.7194
143,22.9733
144,22.4892
145,22.2718
