Slice,Mean
1,30.1942
2,30.3884
3,30.6702
4,30.4247
5,30.6206
6,29.8119
7,30.6005
8,30.9311
9,30.7932
10,30.0340
11,29.5915
12,30.5731
13,30.0381
14,30.4516
15,30.3887
16,29.5615
17,30.0013
18,30.0441
19,29.5614
20,30.5072
21,30.2574
22,29.8859
23,29.7016
24,29.1906
25,30.2278
26,29.1213
27,29.6419
28,29.7550
29,29.8420
30,29.7873
31,29.4239
32,29.7548
33,29.8737
34,29.7677
35,29.3393
36,29.5250
37,29.8850
38,28.8097
39,29.4216
40,29.6615
41,29.3280
42,29.1443
43,29.1293
44,29.3282
45,29.3885
46,29.5479
47,29.7100
48,29.2921
49,29.6489
50,29.7930
51,29.3480
52,24.7285
53,30.0810
54,27.8892
55,26.3615
56,27.1015
57,24.9561
58,22.6961
59,28.8787
60,28.5994
61,28.4763
62,28.7137
63,29.0845
64,28.5552
65,28.7543
66,28.3630
67,28.3456
68,28.5762
69,28.9043
70,28.9624
71,28.4984
72,28.8341
73,28.7043
74,29.0002
75,29.1079
76,28.7715
77,28.6970
78,28.6896
79,28.7806
80,28.8071
81,29.1691
82,29.2716
83,29.0501
84,28.6608
85,28.9379
86,28.7967
87,28.1842
88,28.5657
89,28.5216
90,28.8463
91,28.5510
92,27.8312
93,28.3637
94,28.5125
95,28.4825
96,28.2655
97,28.6228
98,28.6185
99,28.5194
100,28.7331
101,28.6862
102,28.3642
103,28.4753
104,28.6177
105,28.5725
106,28.4297
107,28.5420
108,29.2597
109,28.7198
110,28.8207
111,28.3053
112,28.2656
113,27.9368
114,28.1598
115,28.2989
116,28.2428
117,28.4061
118,28.5307
119,27.9309
120,28.1156
121,28.6501
122,28.1109
123,28.7256
124,28.3865
125,29.0503
126,28.3089
127,28.4608
128,28.0737
129,28.1106
130,28.2569
131,27.4023
132,28.1238
133,27.6925
134,28.0717
135,28.3198
136,27.9031
137,28.3050
138,28.4391
139,28.6582
140,28.4695
141,28.5061
142,28.5561
143,28.3151
144,27.7674
145,28.2112
146,28.9465
147,28.0773
148,27.9125
149,28.4099
150,28.4094
151,28.3510
152,28.1429
153,28.1468
154,28.1865
155,28.2530
156,27.5541
157,28.3675
158,27.6917
159,27.5544
160,27.9316
161,27.8869
162,27.8024
163,27.8105
164,28.0843
165,28.1048
166,27.8024
167,27.8478
168,28.2442
169,27.7915
170,28.0941
171,27.9183
172,28.3588
173,28.3919
174,28.0824
175,28.2314
176,27.9693
177,28.2714
178,28.0073
179,28.4894
180,28.4019
181,28.2986
182,28.3569
183,28.1892
184,28.3683
185,27.9390
186,28.0747
187,27.6745
188,27.6369
189,28.7402
190,28.1379
191,28.2429
192,28.6897
193,28.1953
194,28.1643
195,28.3056
196,28.4425
197,28.2040
198,27.8799
199,27.6428
200,28.2247
201,28.0306
202,27.6879
203,27.9668
204,28.3228
205,27.9565
206,28.5722
207,27.6802
208,28.0968
209,27.9802
210,28.5468
211,27.9707
212,27.9708
213,27.8641
214,27.7695
215,28.6878
216,28.5828
217,28.1442
218,28.2103
219,27.5301
220,27.9772
221,28.1387
222,28.0011
223,27.9052
224,27.8064
225,28.1489
226,27.9166
227,28.0057
228,28.0156
229,27.4477
230,28.4181
231,28.2012
232,28.3505
233,27.8439
234,27.6739
235,28.4604
236,28.2059
237,28.2787
238,28.8263
239,27.8290
240,28.1149
241,28.4744
242,28.1778
243,28.2412
244,28.3986
245,28.7387
246,28.0208
247,28.2969
248,28.1626
249,28.2830
250,27.9688
251,28.3988
252,28.1837
253,28.6565
254,28.6910
255,28.2172
256,28.0870
257,28.0651
258,28.6640
259,28.0332
260,28.6176
261,29.0451
262,29.2004
263,28.8384
264,29.6493
265,30.1934
266,30.8120
267,31.5071
268,32.1549
269,32.8704
270,33.2657
271,33.9646
272,35.3433
273,34.8098
274,37.3903
275,38.8523
276,40.6187
277,42.6013
278,43.7888
279,44.7570
280,45.7419
281,46.1455
282,45.9448
283,46.7044
284,46.7162
285,47.3734
286,47.3060
287,47.1096
288,46.5765
289,47.1671
290,47.6582
291,47.3434
292,47.3299
293,47.4707
294,46.7527
295,47.7311
296,46.6570
297,47.1663
298,47.0796
299,47.7970
300,47.4307
301,46.5201
302,47.1230
303,46.9722
304,47.0606
305,46.9471
306,47.5339
307,46.7821
308,47.0841
309,47.3309
310,47.1956
311,47.5445
312,47.4638
313,47.3003
314,47.4362
315,47.6211
316,47.4148
317,47.7806
318,47.2429
319,47.5993
320,47.5294
321,47.5024
322,46.8597
323,47.2158
324,47.0561
325,47.2133
326,47.1607
327,47.2469
328,46.8467
329,46.8152
330,47.2289
331,46.6435
332,47.1985
333,47.1786
334,47.4327
335,47.4262
336,47.5668
337,48.0379
338,47.8091
339,47.1755
340,46.9227
341,47.8334
342,47.3194
343,47.0078
344,47.1849
345,47.3305
346,46.9505
347,46.8100
348,47.4101
349,47.2729
350,47.3215
351,47.7631
352,47.1694
353,46.6594
354,46.9405
355,47.8261
356,47.3366
357,47.5776
358,47.5301
359,47.0393
360,46.9125
361,46.7135
362,46.9885
363,47.3369
364,47.1165
365,46.9111
366,46.6937
367,47.1738
368,47.0035
369,46.6292
370,46.8994
371,46.9215
372,47.2370
373,47.0165
374,47.3247
375,46.7743
376,47.6594
377,47.0656
378,46.6170
379,47.2704
380,46.9278
381,47.0736
382,46.5601
383,46.7037
384,47.1178
385,47.4459
386,47.0562
387,46.8261
388,47.0843
389,47.0965
390,47.1137
391,46.7630
392,46.5370
393,47.0551
394,46.8545
395,46.2970
396,46.9007
397,46.4357
398,46.6757
399,46.6044
400,46.7291
401,46.8796
402,46.3538
403,46.6866
404,46.1920
405,46.8439
406,46.5001
407,46.5325
408,45.9922
409,45.8342
410,46.2394
411,46.2074
412,45.8007
413,46.4485
414,46.3221
415,46.5102
416,46.3197
417,46.1238
418,46.6176
419,46.1461
420,46.2287
421,46.2434
422,46.4744
423,46.2288
424,46.4853
425,46.3528
426,45.9422
427,46.8571
428,45.8700
429,46.1361
430,46.3680
431,45.6584
432,46.4150
433,46.3601
434,46.1212
435,46.5454
436,46.2825
437,46.0989
438,45.7779
439,46.1688
440,46.1587
441,46.1851
442,45.9951
443,45.6745
444,46.3267
445,46.0141
446,45.7972
447,46.0708
448,45.7240
449,45.9063
450,46.3644
451,46.0464
452,45.8721
453,46.1499
454,46.0036
455,46.1385
456,45.8228
457,45.9292
458,45.2355
459,45.9704
460,46.0055
461,45.6061
462,45.5030
463,45.5352
464,46.0629
465,45.8865
466,45.6892
467,45.2997
468,46.4866
469,45.6600
470,45.4843
471,45.6522
472,45.0734
473,45.5996
474,45.7968
475,45.3294
476,45.4874
477,45.1850
478,45.4148
479,45.7111
480,45.3793
481,45.2884
482,45.2769
483,45.8723
484,45.9550
485,45.9946
486,45.5992
487,45.4634
488,45.7207
489,45.9826
490,45.3624
491,45.6968
492,45.4955
493,45.1247
494,45.3333
495,45.5068
496,45.4579
497,44.8257
498,44.9612
499,45.4540
500,45.1282
501,44.8316
502,45.2218
503,45.6274
