Mean,Mean,Mean,Mean
,47.7301,32.8928,42.3089
,47.6925,32.9735,41.9107
,47.4404,32.7199,41.4516
,47.2,33.0105,41.5607
,47.3267,33.0195,41.3954
,48.1018,33.2189,41.8564
,47.6873,33.2561,41.4132
,47.2183,33.0237,41.298
,47.4338,33.0996,42.0344
,47.6841,33.2671,42.0128
,47.9708,33.2896,41.3726
,47.7494,33.4933,41.4167
,47.8309,33.0566,41.6158
,48.1594,32.9127,41.3417
,47.3976,33.3008,41.3648
,47.7426,33.2325,41.4589
,47.2935,32.7707,41.8535
,47.8403,33.0166,42.2039
,48.1826,33.3477,41.6202
,47.8195,32.9852,40.9244
,47.6987,32.0429,41.7664
,47.6745,32.9895,41.4497
,47.7497,32.6987,41.4638
,47.5896,33.1136,41.721
,47.9649,32.8139,41.6109
,47.1689,33.1269,
,47.5253,33.2282,
,47.3237,33.3256,
,47.3608,33.1142,
,47.6391,33.2811,
,47.8489,32.7142,
,47.4406,32.6977,
,47.0424,33.0504,
,47.7679,32.5892,
,47.318,32.6137,
,47.4815,32.6292,
,46.8919,32.6668,
,47.3707,32.8824,
,47.092,32.5673,
,47.1867,32.7893,
,47.4034,32.689,
,47.3307,32.31,
,47.305,32.4514,
,47.2064,32.5797,
,46.9742,32.7682,
,47.6577,32.7219,
,46.9295,32.9206,
,47.0809,32.9933,
,46.8901,32.2068,
,47.3135,32.1189,
,46.8514,32.6495,
,46.851,32.3379,
,47.1877,32.3495,
,46.6699,32.6091,
,47.465,32.4318,
,46.8895,32.4619,
,47.1038,32.2817,
,47.0173,32.3069,
,47.006,32,
,46.8271,32.2723,
,46.7346,32.2508,
,47.3504,32.0508,
,47.0792,31.6911,
,47.2594,32.6941,
,,32.319,
,,32.2976,
,,32.0703,
,,31.9644,
,,32.2961,
,,32.4363,
,,32.2404,
,,31.8955,
,,32.3671,
,,32.0034,
,,32.0122,
,,31.9982,
,,31.8667,
,,31.8083,
,,31.9966,
,,31.7063,
,,31.5713,
,,31.9084,
,,31.7617,
,,31.8885,
,,32.1312,
