X,Y
0.000,15767.553
0.946,15659.818
1.891,15732.117
2.837,15710.293
3.782,15738.688
4.728,15551.943
5.673,15636.523
6.619,15719.943
7.564,15687.760
8.510,15688.854
9.456,15581.194
10.401,15485.495
11.347,15477.294
12.292,15614.490
13.238,15702.040
14.183,15521.669
15.129,15469.882
16.075,15604.052
17.020,15596.035
17.966,15593.563
18.911,15445.463
19.857,15698.593
20.802,15473.271
21.748,15478.985
22.693,15435.005
23.639,15427.185
24.585,15385.913
25.530,15467.433
26.476,15355.156
27.421,15496.404
28.367,15399.481
29.312,15500.418
30.258,15375.193
31.204,15269.780
32.149,15373.353
33.095,15393.781
34.040,15370.312
34.986,15243.878
35.931,15379.695
36.877,15220.320
37.822,15338.460
38.768,15287.873
39.714,15297.597
40.659,15187.740
41.605,15129.331
42.550,15316.600
43.496,15306.351
44.441,15252.266
45.387,15223.888
46.333,15228.396
47.278,15261.765
48.224,15196.654
49.169,15117.492
50.115,15138.400
51.060,15153.186
52.006,15085.504
52.951,15097.939
53.897,15160.421
54.843,15104.111
55.788,15072.909
56.734,15097.379
57.679,15111.915
58.625,15091.550
59.570,14976.399
60.516,15025.318
61.462,15023.493
62.407,15173.801
63.353,15007.987
64.298,15035.384
65.244,14941.198
66.189,15021.860
67.135,15098.773
68.080,15068.337
69.026,14941.044
69.972,14882.385
70.917,15038.241
71.863,14895.958
72.808,14975.287
73.754,15001.712
74.699,14895.382
75.645,14969.360
76.590,14754.879
77.536,14989.030
78.482,14834.663
79.427,14825.719
80.373,14747.414
81.318,14920.549
82.264,14774.445
83.209,14909.175
84.155,14930.640
85.101,14749.655
86.046,14722.734
86.992,14777.878
87.937,14742.091
88.883,14635.117
89.828,14707.875
90.774,14647.729
91.719,14676.409
92.665,14730.693
93.611,14695.453
94.556,14816.664
95.502,14681.295
96.447,14834.374
97.393,14623.530
98.338,14622.781
99.284,14640.921
100.230,14700.954
101.175,14550.055
102.121,14713.687
103.066,14701.049
104.012,14473.484
104.957,14588.802
105.903,14701.651
106.848,14761.654
107.794,14580.289
108.740,14417.341
109.685,14408.697
110.631,14505.959
111.576,14683.766
112.522,14469.443
113.467,14603.383
114.413,14831.109
115.359,15108.655
116.304,15108.466
117.250,15307.383
118.195,15367.776
119.141,15543.271
120.086,15506.555
121.032,15441.616
121.977,15391.036
122.923,15478.231
123.869,15564.468
124.814,15529.385
125.760,15389.111
126.705,15505.188
127.651,15435.912
128.596,15504.080
129.542,15495.004
130.488,15419.749
131.433,15583.654
132.379,15476.049
133.324,15420.736
134.270,15403.471
135.215,15355.513
136.161,15342.626
137.106,15292.663
138.052,15131.939
138.998,15286.165
139.943,15273.998
140.889,15354.944
141.834,15236.521
142.780,15274.791
143.725,15339.393
144.671,15206.920
145.616,15247.143
146.562,15374.152
147.508,15250.605
148.453,15399.553
149.399,15175.541
150.344,15458.480
151.290,15223.326
152.235,15206.695
153.181,15138.459
154.127,15129.467
155.072,15263.932
156.018,15292.479
156.963,15138.730
157.909,15068.136
158.854,15115.958
159.800,15122.210
160.745,15201.376
161.691,15017.181
162.637,15096.889
163.582,15051.413
164.528,14971.630
165.473,15117.543
166.419,14907.709
167.364,15129.514
168.310,15306.413
169.256,15117.673
170.201,15032.151
171.147,15086.827
172.092,15111.657
173.038,15021.946
173.983,14959.353
174.929,15086.919
175.874,15040.803
176.820,14980.888
177.766,15020.141
178.711,14848.807
179.657,14919.646
180.602,14693.915
181.548,14857.830
182.493,14960.955
183.439,14856.352
184.385,14852.879
185.330,14899.330
186.276,14952.364
187.221,15053.920
188.167,14711.038
189.112,14880.096
190.058,14841.369
191.003,14914.288
191.949,14721.344
192.895,14718.599
193.840,14713.217
194.786,14816.770
195.731,14647.054
196.677,14788.595
197.622,14736.241
198.568,14742.118
199.513,14773.195
200.459,14673.960
201.405,14547.416
202.350,14663.578
203.296,14812.562
204.241,14818.180
205.187,14764.646
206.132,14946.722
207.078,14902.746
208.024,14921.222
208.969,15038.652
209.915,14921.108
210.860,14894.634
211.806,14947.487
212.751,14950.304
213.697,14999.102
214.642,14897.857
215.588,14937.131
216.534,15076.522
217.479,15002.166
218.425,15019.956
219.370,14849.539
220.316,14997.354
221.261,15065.393
222.207,14987.571
223.153,15063.923
224.098,14984.226
225.044,15037.672
225.989,14846.021
226.935,15033.011
227.880,15050.815
228.826,14836.685
229.771,14994.188
230.717,14844.780
231.663,15039.371
232.608,14998.062
233.554,14918.030
234.499,14919.496
235.445,14929.653
236.390,14799.201
237.336,14858.326
238.282,14814.931
239.227,14921.558
240.173,14863.928
241.118,14887.922
242.064,14807.063
243.009,14818.137
243.955,14814.511
244.900,14848.249
245.846,14744.458
246.792,14809.852
247.737,14918.875
248.683,14732.892
249.628,14676.843
250.574,14735.520
251.519,14824.915
252.465,14736.670
253.411,14776.714
254.356,14828.837
255.302,14804.710
256.247,14798.066
257.193,14624.049
258.138,14801.988
259.084,14740.764
260.029,14611.655
260.975,14755.171
261.921,14724.372
262.866,14657.484
263.812,14624.272
264.757,14612.285
265.703,14591.226
266.648,14679.755
267.594,14578.646
268.539,14588.211
269.485,14682.404
270.431,14650.878
271.376,14626.569
272.322,14682.422
273.267,14580.609
274.213,14302.084
275.158,14621.997
276.104,14571.808
277.050,14516.251
277.995,14483.472
278.941,14482.381
279.886,14701.727
280.832,14573.823
281.777,14473.937
282.723,14442.717
283.668,14509.516
284.614,14508.281
285.560,14614.076
286.505,14497.648
287.451,14517.310
288.396,14397.529
289.342,14453.901
290.287,14444.204
291.233,14418.713
292.179,14378.598
293.124,14449.360
294.070,14510.752
295.015,14338.662
295.961,14378.256
296.906,14287.985
297.852,14294.144
298.797,14300.500
299.743,14374.035
300.689,14353.249
301.634,14415.148
302.580,14386.484
303.525,14328.017
304.471,14389.300
305.416,14269.510
306.362,14051.890
307.308,14080.181
308.253,14430.310
309.199,14325.884
310.144,14410.345
311.090,14405.827
312.035,14467.593
312.981,14487.184
313.926,14494.463
314.872,14563.094
